A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
37,0,78,0,18,10,42,60,18,negative
46,0,80,0,44,-26,34,36,2,negative
46,-1,88,-6,46,-5,41,41,0,negative
37,0,81,-6,-4,0,44,86,42,negative
49,-4,111,0,50,2,62,62,0,negative
37,0,77,-5,12,0,41,65,24,negative
42,0,77,7,42,0,35,36,0,negative
37,0,104,-4,20,0,67,83,16,negative
54,0,83,3,54,0,29,29,0,negative
46,0,88,1,46,10,42,41,0,negative
43,0,85,0,42,-10,42,44,2,negative
39,0,108,0,38,0,68,69,0,negative
37,0,76,-1,20,-4,40,55,16,negative
51,0,88,-3,50,-13,37,39,2,negative
53,0,88,0,52,-13,35,36,2,negative
41,0,76,0,42,11,35,34,0,negative
37,0,77,0,16,-1,41,62,22,negative
45,0,83,-1,44,-1,38,39,0,negative
48,-1,81,0,46,-11,33,35,2,negative
45,1,86,0,44,-6,41,42,2,negative
37,0,103,-1,24,-3,66,80,14,negative
44,0,86,0,44,22,42,42,0,negative
56,0,97,0,54,3,41,43,2,negative
48,-4,83,0,46,0,35,36,2,negative
44,0,76,-5,44,0,31,32,0,negative
44,0,109,0,42,-30,66,68,2,negative
43,0,85,-6,42,0,42,44,2,negative
57,-4,86,0,56,0,29,29,0,negative
39,1,81,0,38,0,43,43,0,negative
45,0,87,-1,44,-1,42,43,2,negative
37,0,78,0,-6,-22,42,86,44,negative
37,-1,81,0,36,0,44,45,0,negative
37,-3,106,-6,30,-8,69,75,6,negative
37,0,80,-7,34,-4,43,46,2,negative
53,0,84,0,54,2,32,30,0,negative
51,0,83,4,50,-2,32,33,2,negative
51,5,82,0,50,0,31,33,2,negative
53,0,85,-3,54,0,32,31,0,negative
37,0,79,0,24,-6,42,55,14,negative
42,0,82,2,42,0,39,41,2,negative
49,2,106,0,46,-10,58,60,2,negative
53,-1,79,0,52,-5,26,27,2,negative
52,1,91,0,52,0,39,39,0,negative
43,4,81,0,42,0,38,39,2,negative
41,0,76,0,38,-5,35,37,2,negative
45,3,84,0,44,0,38,40,2,negative
43,0,77,7,42,-7,34,35,2,negative
49,0,95,0,46,-24,47,49,2,negative
44,0,80,-4,44,1,36,36,0,negative
37,0,77,0,34,19,40,44,4,negative
49,0,79,1,50,7,30,30,0,negative
64,0,111,3,64,23,46,46,0,negative
48,4,90,0,46,0,42,43,2,negative
42,2,78,-1,42,0,36,37,2,negative
56,0,81,0,56,15,25,24,0,negative
38,3,77,0,38,5,39,38,0,negative
46,4,81,0,46,6,35,34,0,negative
53,1,86,0,52,-16,33,34,2,negative
43,0,81,5,42,0,38,40,2,negative
37,0,78,0,16,5,41,63,22,negative
45,0,81,0,44,-20,35,37,2,negative
38,1,102,-5,34,0,65,69,4,negative
39,-4,86,0,38,0,46,47,0,negative
53,0,86,0,52,-16,33,34,2,negative
37,0,93,0,10,-6,56,83,28,negative
37,0,84,0,26,-1,47,58,10,negative
49,0,85,0,50,19,36,36,0,negative
45,-2,77,0,44,-20,32,34,2,negative
40,-2,106,0,38,0,66,67,2,negative
49,0,83,0,50,1,34,33,0,negative
47,0,87,-7,46,0,40,41,0,negative
37,0,91,-2,6,0,54,86,32,negative
37,-1,102,0,36,6,65,66,2,negative
38,2,79,0,38,20,41,40,0,negative
56,0,97,2,54,0,41,43,2,negative
38,-4,86,0,38,0,48,48,0,negative
41,-3,79,0,42,0,38,38,0,negative
46,-2,83,0,46,0,36,36,0,negative
41,0,87,3,42,27,46,46,0,negative
37,0,105,3,18,0,68,87,18,negative
44,2,81,0,44,1,37,37,0,negative
41,0,97,0,42,29,56,55,0,negative
48,-1,84,0,46,-3,36,38,2,negative
37,3,76,6,34,0,39,43,4,negative
44,0,76,0,44,2,32,32,0,negative
43,1,79,0,42,0,37,38,2,negative
46,3,79,0,46,16,33,32,0,negative
46,0,88,-4,46,16,43,42,0,negative
45,0,81,-3,44,0,36,37,2,negative
53,0,87,3,52,-5,34,35,2,negative
37,0,93,0,10,-9,56,83,28,negative
37,0,76,0,34,10,39,42,2,negative
49,-3,107,0,46,-30,58,60,2,negative
45,4,108,0,44,0,63,64,2,negative
37,0,106,0,26,1,68,80,12,negative
48,1,83,-1,46,0,34,36,2,negative
41,0,79,-1,38,-5,39,41,2,negative
43,0,108,-5,42,-16,64,66,2,negative
44,0,87,0,44,1,43,43,0,negative
47,0,88,6,46,0,42,42,0,negative
50,-2,84,0,50,0,34,35,0,negative
37,0,76,-4,36,0,39,40,0,negative
37,5,75,0,36,0,38,39,0,negative
55,0,77,-1,54,0,22,23,0,negative
52,4,86,0,52,0,34,34,0,negative
41,0,79,0,38,-17,38,40,2,negative
39,0,77,3,38,0,38,39,0,negative
45,0,79,0,44,-27,33,35,2,negative
47,-1,84,0,46,0,37,38,0,negative
43,-1,77,0,42,-15,34,35,2,negative
43,0,83,2,44,22,40,39,0,negative
45,-1,86,0,44,-8,41,42,2,negative
43,-4,77,1,42,-20,34,36,2,negative
46,-4,81,0,46,0,34,34,0,negative
37,0,76,0,30,-5,39,45,6,negative
51,0,84,0,52,24,34,33,0,negative
43,0,87,0,42,-9,44,46,2,negative
37,0,77,0,2,3,40,74,34,negative
37,0,78,0,16,26,41,63,22,negative
45,0,80,0,44,-13,35,36,2,negative
41,-5,78,0,42,3,37,37,0,negative
51,-4,88,0,52,0,36,36,0,negative
49,0,107,0,50,19,58,58,0,negative
37,0,105,0,24,7,68,82,14,negative
42,-1,83,0,42,0,42,42,0,negative
37,3,75,0,18,-6,38,57,18,negative
37,0,80,0,12,5,43,67,24,negative
44,-2,108,0,44,0,63,64,0,negative
51,0,84,0,52,2,33,32,0,negative
47,-908,86,-1,46,0,39,39,0,negative
42,-2,83,0,42,0,42,42,0,negative
41,1,80,0,38,0,39,41,2,negative
51,2,83,-1,50,-1,32,33,2,negative
44,2,86,0,44,5,42,42,0,negative
37,0,93,0,16,21,55,77,22,negative
41,0,78,0,42,17,37,37,0,negative
41,0,76,-5,38,0,35,37,2,negative
40,-4,81,0,38,0,41,43,2,negative
38,1,109,-3,38,0,71,71,0,negative
42,0,86,3,42,0,44,44,0,negative
58,-1,79,0,56,0,21,22,0,negative
37,5,76,0,36,2,39,40,0,negative
44,3,93,0,44,10,50,50,0,negative
53,0,102,0,54,6,49,48,0,negative
53,0,88,5,52,-20,35,36,2,negative
37,0,80,-5,36,0,43,44,0,negative
44,1,81,0,44,5,38,37,0,negative
43,-1,83,-3,42,-6,40,42,2,negative
37,0,107,0,36,0,69,71,2,negative
37,0,77,-1,-18,-4,40,95,54,negative
55,-1,93,0,54,0,38,39,0,negative
46,2,80,0,46,2,34,34,0,negative
67,4,112,0,68,2,45,45,0,negative
51,-2,77,0,52,0,26,25,0,negative
37,0,76,0,36,-13,39,40,2,negative
48,-2,87,0,46,-8,39,41,2,negative
53,-2,80,-2,54,-3,27,26,0,negative
44,2,108,-1,44,7,64,64,0,negative
41,0,81,5,38,0,40,42,2,negative
52,1,87,-6,52,0,35,35,0,negative
37,0,76,0,36,2,38,39,2,negative
48,4,81,1,46,0,32,34,2,negative
46,0,88,2,46,0,41,41,0,negative
43,-3,86,-1,44,8,42,42,0,negative
37,0,76,1,26,-12,40,50,10,negative
49,2,95,0,46,-12,47,49,2,negative
53,2,79,0,54,3,25,24,0,negative
37,0,81,0,34,17,45,48,2,negative
37,0,104,-1,28,1,67,76,8,negative
56,-1,92,0,56,0,36,35,0,negative
45,0,76,0,46,8,30,29,0,negative
44,0,84,0,44,8,40,40,0,negative
47,1,77,-7,46,0,30,31,0,negative
45,0,82,-5,44,0,37,38,0,negative
38,0,81,0,36,-24,43,44,2,negative
49,3,82,0,50,25,33,33,0,negative
53,-1,87,0,52,-21,34,35,2,negative
37,0,76,0,24,-2,39,53,14,negative
56,0,86,0,56,12,31,30,0,negative
41,0,86,-5,38,-7,46,48,2,negative
42,4,83,-5,42,0,41,41,0,negative
52,-1,88,0,52,-6,35,36,0,negative
56,0,79,0,54,-7,23,24,2,negative
53,3,81,0,54,24,28,26,0,negative
45,0,78,-5,44,-21,33,34,2,negative
41,-5,77,8,38,-20,36,38,2,negative
45,0,76,0,44,-23,31,32,2,negative
37,0,75,0,26,16,38,49,12,negative
37,0,79,0,2,19,42,76,34,negative
48,-1,76,-1,46,-1,28,30,2,negative
56,0,96,0,54,-1,40,42,2,negative
37,-2,77,1,0,4,40,77,36,negative
37,0,77,0,38,31,39,38,0,negative
37,0,86,6,36,0,50,50,0,negative
53,0,83,5,54,4,30,29,0,negative
47,0,81,2,46,0,33,34,0,negative
51,1,81,0,50,-4,30,32,2,negative
37,0,77,0,26,18,40,51,12,negative
49,0,87,0,50,0,38,38,0,negative
41,0,79,6,42,8,38,38,0,negative
47,-2,83,0,46,0,36,37,0,negative
44,0,84,0,42,-16,40,43,2,negative
37,0,78,0,24,29,41,55,14,negative
53,0,87,0,52,-6,34,35,2,negative
56,1,86,3,56,4,31,30,0,negative
37,-1,76,0,20,-1,39,55,16,negative
37,-1,77,-5,8,-14,41,70,28,negative
47,0,87,-5,46,0,40,41,0,negative
46,0,77,0,44,-19,32,34,2,negative
49,-5,89,0,46,-30,40,42,2,negative
37,0,82,0,36,22,45,46,2,negative
52,-3,81,0,52,-2,29,30,0,negative
56,0,89,0,56,3,33,32,0,negative
49,0,111,0,50,0,62,62,0,negative
42,-1,90,0,42,0,47,48,2,negative
43,0,81,4,44,28,37,37,0,negative
37,0,77,0,24,-14,40,54,14,negative
37,0,95,-5,16,5,58,79,22,negative
37,0,79,0,6,16,42,74,32,negative
47,5,84,0,46,0,38,38,0,negative
37,5,76,0,36,1,39,39,0,negative
37,0,84,2,24,-14,47,61,14,negative
43,0,79,0,44,24,35,35,0,negative
43,0,76,0,42,-14,33,35,2,negative
56,2,91,0,56,16,35,34,0,negative
46,0,77,6,46,2,32,31,0,negative
54,-3,83,-1,54,0,28,28,0,negative
37,0,91,0,18,7,53,73,20,negative
37,0,77,0,8,13,40,70,30,negative
41,0,83,8,42,5,42,42,0,negative
37,0,107,0,28,12,69,78,8,negative
45,0,86,6,44,-1,41,42,2,negative
54,-1,81,-5,54,-7,27,27,0,negative
46,-4,79,0,46,0,33,32,0,negative
42,-3,79,0,42,0,37,38,2,negative
37,0,98,0,28,-4,61,70,8,negative
38,0,102,0,34,-8,65,69,4,negative
47,0,78,-7,46,0,31,32,0,negative
55,1,88,1,54,0,32,33,2,negative
40,0,89,0,38,0,49,50,2,negative
53,3,81,0,52,-4,28,30,2,negative
37,0,79,0,10,-21,42,68,26,negative
44,-1,85,1,44,0,41,41,0,negative
37,0,97,0,30,-3,60,66,6,negative
37,0,76,0,28,16,39,47,8,negative
47,0,86,2,46,0,38,39,0,negative
42,0,77,-1,42,0,35,36,0,negative
37,0,77,0,26,-13,40,51,10,negative
45,0,93,0,44,-8,48,50,2,negative
44,0,77,-1,44,2,33,33,0,negative
38,0,79,0,38,5,42,41,0,negative
47,0,88,4,46,0,41,41,0,negative
37,2,77,0,-22,1,41,101,60,negative
37,0,77,0,8,17,40,69,28,negative
45,0,87,6,46,15,42,41,0,negative
37,1,82,0,36,0,45,46,0,negative
37,0,79,0,2,20,42,76,34,negative
44,1,79,-1,44,0,35,35,0,negative
42,3,79,8,42,0,37,38,0,negative
45,0,86,-4,46,19,41,40,0,negative
53,0,88,0,52,-27,35,37,2,negative
44,-2,86,3,44,0,42,42,0,negative
39,0,86,5,38,0,47,48,0,negative
43,-4,85,0,42,-19,42,44,2,negative
56,1,80,0,56,14,24,23,0,negative
38,0,106,0,38,0,68,67,0,negative
48,0,88,3,50,31,40,39,0,negative
49,5,80,0,50,5,31,31,0,negative
37,0,95,0,18,24,58,77,18,negative
41,0,81,0,38,-19,41,43,2,negative
49,-5,86,0,50,6,38,37,0,negative
37,0,76,0,36,-5,38,39,2,negative
51,1,102,0,50,0,51,53,2,negative
47,2,90,8,46,0,43,44,0,negative
43,0,81,2,42,-5,38,40,2,negative
45,0,81,0,44,-23,35,37,2,negative
45,0,86,-1,44,-13,41,42,2,negative
38,0,77,0,38,9,39,38,0,negative
41,-2,108,0,38,-13,67,69,2,negative
46,0,84,-2,46,-3,38,37,0,negative
45,0,79,0,44,-23,33,35,2,negative
38,3,77,0,38,0,39,38,0,negative
57,3,88,0,56,0,31,31,0,negative
37,0,76,-1,28,-4,39,47,8,negative
45,-2,81,0,46,11,35,34,0,negative
38,-1,91,-2,6,-7,53,86,32,negative
40,-2,86,0,38,0,46,47,2,negative
45,0,85,0,46,21,40,39,0,negative
55,0,83,3,54,0,28,29,0,negative
37,0,93,0,16,7,55,77,22,negative
46,-4,78,-1,46,0,32,32,0,negative
41,1,86,0,38,-7,46,48,2,negative
46,-4,86,0,46,0,41,40,0,negative
46,0,85,-2,46,7,39,39,0,negative
61,0,111,0,60,-8,50,52,2,negative
52,0,78,-1,52,0,26,26,0,negative
44,0,87,0,44,22,43,43,0,negative
37,0,95,0,16,0,58,79,22,negative
37,0,103,0,30,-6,66,72,6,negative
37,0,77,3,28,0,41,49,8,negative
37,0,79,0,10,-10,42,68,26,negative
37,0,108,2,34,-30,71,75,4,negative
43,0,83,0,42,-14,39,41,2,negative
37,-4,80,0,34,1,43,46,4,negative
37,0,77,0,20,19,41,57,16,negative
37,-2,77,3,38,11,40,39,0,negative
37,0,77,2,12,0,40,64,24,negative
45,0,78,-4,46,20,33,32,0,negative
37,0,97,-6,26,-5,60,71,12,negative
37,0,106,14,28,0,69,78,8,negative
37,0,77,0,0,-5,40,77,36,negative
45,1,76,2,44,0,31,32,2,negative
37,0,95,0,10,23,58,84,26,negative
37,0,79,0,30,11,43,48,6,negative
37,0,104,0,20,-22,67,84,16,negative
56,3,86,0,56,14,31,30,0,negative
41,0,76,0,38,-20,35,37,2,negative
37,0,77,0,28,6,40,48,8,negative
37,0,109,1,26,0,71,83,12,negative
45,0,86,8,44,-2,41,42,2,negative
41,2,78,0,42,23,37,37,0,negative
37,0,84,0,30,10,47,53,6,negative
48,0,88,1,46,0,39,41,2,negative
42,0,81,0,42,315,39,40,0,negative
38,0,107,3,38,0,69,68,0,negative
46,0,79,2,46,8,34,33,0,negative
47,1,86,-2,46,0,39,39,0,negative
44,0,75,-7,44,2,31,31,0,negative
37,0,77,3,36,3,41,41,0,negative
37,0,106,0,26,-30,69,80,12,negative
55,0,83,-1,54,0,28,28,0,negative
39,1,97,0,38,0,58,58,0,negative
45,2,87,6,44,0,42,43,2,negative
49,0,80,0,50,28,31,31,0,negative
45,0,80,0,46,20,35,34,0,negative
43,-1,76,0,44,25,32,32,0,negative
42,4,108,0,42,0,66,67,2,negative
56,2,82,0,54,-12,26,28,2,negative
37,0,76,0,26,13,40,50,10,negative
37,0,103,0,18,-7,66,85,20,negative
49,-1,106,0,50,0,57,57,0,negative
50,5,85,0,50,0,35,36,0,negative
37,0,80,0,20,-5,43,59,16,negative
50,4,81,-4,50,0,31,32,0,negative
37,-5,97,0,34,3,61,64,2,negative
42,-2,97,1,42,0,56,56,0,negative
43,0,87,8,42,-9,44,46,2,negative
37,0,77,-7,26,-1,40,51,10,negative
63,2,111,5,62,0,48,49,2,negative
49,0,82,0,50,27,33,33,0,negative
47,5,78,-2,46,0,31,32,0,negative
37,0,90,0,20,5,53,70,16,negative
37,0,77,-1,34,-3,40,43,4,negative
40,-2,80,2,38,0,40,41,2,negative
37,0,76,3,36,0,40,40,0,negative
37,0,81,-4,36,0,44,44,0,negative
37,0,103,0,30,16,66,72,6,negative
47,0,89,-7,46,0,42,42,0,negative
37,0,80,0,12,2,43,67,24,negative
37,0,78,0,16,-19,42,63,22,negative
38,0,79,0,38,8,41,40,0,negative
37,0,76,0,26,-2,40,50,10,negative
53,5,81,0,54,4,28,27,0,negative
56,-5,85,1,56,0,29,28,0,negative
46,0,83,-7,46,0,37,37,0,negative
41,0,79,-4,42,7,38,37,0,negative
40,-5,80,6,38,0,40,41,2,negative
37,0,76,1,34,2,40,43,2,negative
46,-3,108,0,46,0,62,62,0,negative
37,0,77,6,34,-16,40,43,2,negative
40,-2,108,0,38,0,68,69,2,negative
46,0,85,0,46,14,39,39,0,negative
51,0,81,0,52,3,29,29,0,negative
45,0,77,0,46,21,31,30,0,negative
37,0,77,0,24,9,40,54,14,negative
51,0,82,3,52,16,31,30,0,negative
46,0,90,0,46,1,44,44,0,negative
37,0,82,0,18,7,45,64,18,negative
39,1,93,-3,38,0,54,55,0,negative
44,2,79,0,42,-18,35,37,2,negative
50,-2,80,0,50,0,30,31,2,negative
37,-5,79,0,-6,0,42,86,44,negative
42,2,90,0,42,0,48,49,2,negative
42,0,81,0,42,102,39,40,0,negative
46,0,77,0,44,-22,32,34,2,negative
56,-4,86,0,56,5,30,29,0,negative
37,0,79,1,-2,0,42,82,40,negative
41,5,85,0,38,0,44,46,2,negative
37,0,78,-4,24,0,42,55,14,negative
44,0,75,-6,42,-21,31,34,2,negative
41,0,78,-1,42,-1,37,37,0,negative
36,0,83,2,36,0,46,46,0,negative
38,0,90,0,8,2,52,82,30,negative
44,0,76,0,44,0,31,32,0,negative
37,-2,78,0,-2,0,41,81,40,negative
49,0,82,0,50,7,33,33,0,negative
46,-1,77,-3,46,-5,31,30,0,negative
37,0,98,0,30,6,61,67,6,negative
37,0,79,-2,8,0,43,72,28,negative
41,-5,76,0,38,-15,35,37,2,negative
49,5,90,0,50,2,41,41,0,negative
37,0,79,-2,8,19,43,72,28,negative
37,0,81,0,38,21,44,43,0,negative
37,0,77,3,36,24,41,41,0,negative
57,1,84,-6,56,0,28,28,0,negative
38,1,79,0,38,15,42,41,0,negative
43,0,85,-2,44,22,42,41,0,negative
45,-5,90,0,44,-1,45,46,2,negative
40,4,77,0,38,0,38,39,2,negative
37,0,80,0,12,3,43,67,24,negative
41,0,81,3,42,4,39,39,0,negative
44,0,86,2,42,-18,43,45,2,negative
50,-5,86,0,50,0,37,37,0,negative
37,0,96,0,16,-17,59,81,22,negative
38,0,105,-3,38,0,67,66,0,negative
51,0,86,0,52,13,35,34,0,negative
41,0,84,0,42,18,44,43,0,negative
49,0,106,-5,50,19,58,57,0,negative
57,-3,86,-1,56,0,29,29,0,negative
41,0,89,0,38,-11,48,50,2,negative
37,1,106,-5,28,0,68,77,8,negative
36,-3,77,0,36,0,41,41,0,negative
53,1,81,0,52,-28,28,30,2,negative
45,1,76,0,44,0,31,32,2,negative
45,5,88,0,44,0,43,44,0,negative
43,2,76,0,42,-1,33,35,2,negative
37,-5,77,0,36,-22,40,41,2,negative
55,1,93,5,54,0,38,39,2,negative
54,-3,80,0,54,0,26,26,0,negative
41,-1,97,-5,38,-10,56,58,2,negative
46,2,106,0,46,4,60,60,0,negative
37,0,76,0,26,-15,39,50,10,negative
45,-1,81,-3,46,17,36,35,0,negative
44,-2,85,0,44,0,41,41,0,negative
52,0,82,4,50,-30,30,33,2,negative
51,0,82,0,50,-2,31,33,2,negative
37,0,77,0,28,25,41,49,8,negative
59,0,86,-1,60,21,28,27,0,negative
53,3,103,1,52,-3,50,51,2,negative
62,0,110,2,62,0,48,48,0,negative
57,0,92,2,56,0,34,35,0,negative
37,0,78,0,8,17,41,70,30,negative
44,5,77,8,44,2,33,34,0,negative
40,0,86,-4,38,0,45,47,2,negative
52,-2,87,3,52,0,35,35,0,negative
41,0,82,-6,38,-2,41,43,2,negative
44,2,86,0,44,2,42,42,0,negative
64,0,111,4,62,-12,46,49,2,negative
45,1,81,0,44,0,36,37,0,negative
56,-3,92,0,56,0,36,35,0,negative
41,0,82,0,38,-18,41,43,2,negative
37,0,79,0,0,2,42,79,36,negative
37,0,77,2,28,0,41,49,8,negative
57,2,92,0,56,0,35,35,0,negative
46,1,76,-1,46,0,30,30,0,negative
37,0,90,2,26,0,53,64,12,negative
39,-3,77,-1,38,-2,37,38,0,negative
37,0,76,0,18,-11,40,58,18,negative
41,1,86,0,42,9,45,44,0,negative
37,0,77,2,-18,0,41,96,54,negative
46,0,79,1,46,0,33,33,0,negative
45,-1,77,0,46,8,32,31,0,negative
51,-4,81,0,52,15,30,30,0,negative
37,1,81,8,24,0,43,57,14,negative
37,0,83,3,-2,0,46,85,40,negative
37,0,83,0,2,-16,46,81,34,negative
42,0,102,0,42,0,60,60,0,negative
41,-1,78,0,42,4,37,37,0,negative
37,0,77,-4,28,-20,40,48,8,negative
37,-1,83,-3,26,-37,46,57,12,negative
45,2,76,1,44,0,31,32,2,negative
38,-5,110,0,38,0,72,71,0,negative
56,0,79,0,56,4,22,22,0,negative
37,-3,76,0,38,6,38,37,0,negative
37,0,78,0,24,-26,41,55,14,negative
43,1,75,-3,42,0,32,34,2,negative
47,-2,77,-7,46,0,31,31,0,negative
46,2,84,0,46,18,38,37,0,negative
37,1,75,0,18,-7,38,57,18,negative
37,0,86,0,36,-3,48,50,2,negative
37,0,75,0,30,27,38,44,6,negative
49,-1,81,0,46,-20,33,35,2,negative
45,-1,93,0,46,13,48,47,0,negative
41,0,77,0,38,-22,36,39,2,negative
37,0,105,0,34,11,68,71,4,negative
37,0,98,0,28,-6,61,70,8,negative
37,-4,99,0,28,0,62,71,8,negative
53,0,83,8,54,12,30,29,0,negative
42,3,96,0,42,0,54,55,2,negative
41,-1,86,0,42,18,46,45,0,negative
42,0,78,0,42,0,36,37,0,negative
37,0,94,0,8,-7,57,86,30,negative
41,3,78,0,38,-10,37,39,2,negative
37,0,79,0,36,-9,41,43,2,negative
37,0,81,0,28,-7,45,53,8,negative
47,1,79,0,46,0,32,33,0,negative
37,0,97,1,30,0,60,66,6,negative
44,0,88,0,44,12,44,44,0,negative
48,-3,100,0,46,-1,52,54,2,negative
45,0,81,0,46,4,36,35,0,negative
51,0,102,0,52,12,51,50,0,negative
44,1,80,0,44,17,36,36,0,negative
37,0,83,-1,10,0,46,72,26,negative
49,2,84,0,50,10,35,35,0,negative
37,0,104,0,34,5,67,71,4,negative
45,0,106,-4,44,0,61,62,2,negative
37,0,78,0,12,-14,41,65,24,negative
44,2,83,0,44,0,39,39,0,negative
49,0,81,0,50,14,33,32,0,negative
37,0,104,0,20,-14,67,84,16,negative
45,0,82,4,44,-17,37,38,2,negative
37,0,78,0,16,24,41,63,22,negative
41,0,89,0,42,20,48,48,0,negative
52,0,86,-4,52,0,33,34,0,negative
40,0,86,0,42,31,46,45,0,negative
45,0,84,1,44,0,39,40,2,negative
37,0,79,0,18,-26,43,61,18,negative
49,3,87,0,46,-6,38,41,2,negative
37,0,79,0,34,6,43,46,2,negative
37,0,78,-7,-6,0,41,86,44,negative
45,2,93,-3,44,0,48,49,0,negative
42,-4,108,0,42,0,66,66,0,negative
56,0,86,4,54,-24,31,32,2,negative
44,0,81,-2,44,9,37,37,0,negative
37,0,81,0,28,13,44,52,8,negative
44,0,83,0,44,17,39,39,0,negative
37,-3,81,0,36,-2,44,44,0,negative
37,0,97,0,28,-16,60,69,8,negative
43,-3,79,0,42,-16,35,37,2,negative
37,4,78,-1,16,0,41,63,22,negative
46,0,89,-1,46,4,43,42,0,negative
56,0,87,0,56,17,31,30,0,negative
38,1,76,0,38,7,38,37,0,negative
43,0,81,0,44,26,38,37,0,negative
37,0,77,4,-10,0,41,88,46,negative
37,0,93,5,28,2,56,65,8,negative
53,1,78,0,52,-2,25,26,2,negative
45,0,83,0,46,10,37,36,0,negative
46,3,84,-5,46,8,39,38,0,negative
44,0,78,0,44,4,34,34,0,negative
37,-1,106,0,34,1,69,72,4,negative
37,0,77,-5,16,0,40,62,22,negative
53,0,83,0,52,-21,30,32,2,negative
37,0,77,-2,34,-898,41,44,2,negative
45,3,86,1,44,0,42,42,0,negative
45,2,80,5,44,0,35,36,0,negative
43,0,83,1,44,25,40,39,0,negative
37,0,94,0,8,-9,57,86,30,negative
45,1,76,-3,44,0,31,32,0,negative
43,0,77,0,42,-14,34,35,2,negative
37,0,76,-2,26,0,39,50,12,negative
46,0,86,3,46,1,40,39,0,negative
37,0,79,4,10,-10,42,69,26,negative
49,-1,79,0,46,-11,31,33,2,negative
37,0,81,-2,36,-17,43,44,2,negative
57,0,86,1,56,0,29,29,0,negative
37,0,81,0,26,-4,44,55,10,negative
41,1,88,-3,38,0,48,50,2,negative
44,0,83,0,42,-14,40,42,2,negative
50,2,107,0,50,0,56,58,2,negative
45,0,88,-1,44,-1,44,44,0,negative
41,2,76,0,42,11,34,34,0,negative
38,-2,92,0,24,-11,54,69,14,negative
37,0,78,0,30,5,41,47,6,negative
56,-3,96,0,54,29,40,42,2,negative
41,0,83,3,42,27,42,42,0,negative
44,0,86,0,42,-25,42,44,2,negative
52,0,86,0,52,-3,33,34,0,negative
37,-7,77,0,20,0,40,56,16,negative
44,3,81,0,44,15,37,37,0,negative
40,5,106,0,38,0,65,67,2,negative
43,-2,89,0,42,0,46,48,2,negative
37,0,76,0,36,-14,39,40,2,negative
37,0,76,0,30,-30,39,45,6,negative
45,1,81,-5,44,0,36,37,0,negative
45,0,82,-38,44,0,37,38,0,negative
51,1,78,0,50,0,27,29,2,negative
51,0,83,0,50,-3,32,34,2,negative
37,0,77,0,30,22,40,46,6,negative
37,0,78,0,18,16,41,60,18,negative
37,0,76,0,20,16,40,55,16,negative
54,-4,86,0,54,0,32,32,0,negative
51,0,86,-7,52,0,35,35,0,negative
46,1,81,1,46,15,35,35,0,negative
37,0,106,-1,34,-2,69,72,4,negative
37,-1,79,0,36,-1,42,43,0,negative
37,0,95,0,20,-17,58,75,16,negative
49,0,86,0,50,78,37,37,0,negative
44,0,86,0,42,-17,43,45,2,negative
63,0,111,8,62,0,48,49,2,negative
46,0,78,0,46,1,32,32,0,negative
56,-1,81,0,54,-16,25,26,2,negative
42,4,77,0,42,0,35,36,2,negative
41,-2,84,0,42,10,43,43,0,negative
46,0,93,0,44,-24,48,50,2,negative
37,0,81,4,8,0,44,73,28,negative
37,0,82,0,34,-20,45,48,4,negative
37,0,79,0,10,-22,43,69,26,negative
44,5,80,0,44,1,36,36,0,negative
37,0,80,0,18,7,43,62,18,negative
45,0,77,3,44,0,32,33,2,negative
46,2,88,0,46,14,42,41,0,negative
43,0,86,-8,44,15,42,42,0,negative
50,1,78,-3,50,0,28,29,2,negative
51,0,78,0,52,5,27,26,0,negative
51,4,83,0,50,-12,31,33,2,negative
49,0,95,6,50,15,47,46,0,negative
56,0,86,0,56,19,31,30,0,negative
44,2,81,0,44,8,37,37,0,negative
54,0,84,3,54,0,31,30,0,negative
37,0,77,0,8,-30,41,70,28,negative
52,-1,86,0,52,0,34,35,0,negative
37,0,97,0,36,-3,60,61,2,negative
43,0,83,0,42,-1,40,42,2,negative
45,0,76,0,44,-11,31,32,2,negative
53,4,84,0,52,-16,32,33,2,negative
43,0,85,1,42,-1,42,44,2,negative
51,0,86,0,50,-17,35,37,2,negative
51,0,81,3,50,-16,30,32,2,negative
47,2,90,0,46,0,43,43,0,negative
49,1,83,0,50,1,33,33,0,negative
37,-1,77,6,-2,0,39,79,40,negative
49,-5,80,0,50,3,31,31,0,negative
46,1,82,0,46,15,36,35,0,negative
37,0,93,0,30,3,56,62,6,negative
39,1,85,-7,38,0,46,46,0,negative
37,0,102,0,28,0,65,73,8,negative
56,0,96,0,54,13,40,42,2,negative
49,-1,80,0,50,0,31,31,0,negative
62,-1,108,1,60,0,46,49,2,negative
51,-1,79,0,50,-7,28,30,2,negative
44,-2,83,4,44,0,38,39,0,negative
37,0,78,0,20,-12,41,57,16,negative
49,2,78,0,50,22,29,29,0,negative
37,0,106,3,30,0,69,75,6,negative
41,0,100,0,38,-7,59,61,2,negative
37,0,83,0,34,-7,46,49,2,negative
37,0,76,-3,20,-6,40,55,16,negative
42,0,79,5,42,0,37,38,2,negative
42,0,77,-12,42,0,35,36,2,negative
37,0,81,0,24,-30,45,58,14,negative
53,-5,83,0,52,-29,30,32,2,negative
51,0,88,0,50,-22,36,39,2,negative
