Length real,Diameter real,Height real,Whole_weight real,Shucked_weight real,Viscera_weight real,Shell_weight rea,Class
0.595,0.46,0.14,0.852,0.4215,0.2255,0.227,negative
0.615,0.475,0.17,1.055,0.543,0.246,0.2345,negative
0.615,0.47,0.155,1.084,0.5885,0.209,0.246,negative
0.62,0.49,0.155,1.1,0.505,0.2475,0.31,negative
0.625,0.49,0.155,1.115,0.484,0.277,0.3095,negative
0.645,0.515,0.16,1.1845,0.506,0.311,0.335,negative
0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,negative
0.645,0.52,0.18,1.285,0.5775,0.352,0.317,negative
0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275,negative
0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,negative
0.65,0.51,0.155,1.407,0.7215,0.298,0.335,negative
0.65,0.49,0.155,1.122,0.545,0.228,0.3055,negative
0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,negative
0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,negative
0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,negative
0.505,0.385,0.125,0.596,0.245,0.097,0.21,negative
0.505,0.38,0.135,0.5385,0.2645,0.095,0.165,negative
0.515,0.395,0.135,0.516,0.2015,0.132,0.162,negative
0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,negative
0.55,0.42,0.155,0.912,0.495,0.1805,0.205,negative
0.55,0.465,0.15,0.936,0.481,0.174,0.2435,negative
0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,negative
0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,negative
0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,negative
0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,negative
0.6,0.45,0.145,0.877,0.4325,0.155,0.24,negative
0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,negative
0.62,0.465,0.14,1.1605,0.6005,0.2195,0.307,negative
0.65,0.52,0.155,1.368,0.6185,0.288,0.365,negative
0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,negative
0.675,0.525,0.17,1.711,0.8365,0.352,0.475,negative
0.705,0.54,0.205,1.757,0.8265,0.417,0.461,negative
0.725,0.57,0.19,2.3305,1.253,0.541,0.52,negative
0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,negative
0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,negative
0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,negative
0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,negative
0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,negative
0.58,0.445,0.16,0.984,0.49,0.201,0.27,negative
0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,negative
0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,negative
0.595,0.435,0.16,1.057,0.4255,0.224,0.31,negative
0.6,0.475,0.175,1.11,0.5105,0.256,0.285,negative
0.625,0.485,0.16,1.254,0.591,0.259,0.3485,negative
0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,negative
0.46,0.36,0.14,0.447,0.161,0.087,0.16,negative
0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755,negative
0.505,0.425,0.125,0.6115,0.245,0.1375,0.2,negative
0.51,0.4,0.145,0.5775,0.231,0.143,0.177,negative
0.55,0.435,0.14,0.745,0.347,0.174,0.2265,negative
0.56,0.435,0.13,0.777,0.354,0.173,0.222,negative
0.575,0.455,0.16,0.9895,0.495,0.195,0.246,negative
0.58,0.45,0.17,0.9705,0.4615,0.232,0.248,negative
0.58,0.45,0.15,0.92,0.393,0.212,0.2895,negative
0.585,0.45,0.135,0.855,0.3795,0.187,0.26,negative
0.59,0.5,0.15,1.142,0.485,0.265,0.345,negative
0.59,0.46,0.125,0.755,0.334,0.15,0.238,negative
0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,negative
0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,negative
0.605,0.49,0.18,1.167,0.457,0.29,0.3745,negative
0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,negative
0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,negative
0.63,0.53,0.18,1.2795,0.618,0.256,0.315,negative
0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,negative
0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,negative
0.67,0.525,0.195,1.4405,0.6595,0.2675,0.425,negative
0.51,0.37,0.21,1.183,0.508,0.292,0.343,negative
0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,negative
0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,negative
0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,negative
0.61,0.475,0.175,1.024,0.409,0.261,0.322,negative
0.61,0.485,0.17,1.281,0.597,0.3035,0.33,negative
0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,negative
0.635,0.51,0.17,1.2235,0.532,0.271,0.354,negative
0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,negative
0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,negative
0.455,0.355,0.105,0.372,0.138,0.0765,0.135,negative
0.475,0.375,0.11,0.456,0.182,0.099,0.16,negative
0.535,0.42,0.145,0.6885,0.273,0.1515,0.237,negative
0.56,0.45,0.145,0.894,0.3885,0.2095,0.264,negative
0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,negative
0.575,0.47,0.15,0.9785,0.4505,0.196,0.276,negative
0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,negative
0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,negative
0.59,0.405,0.15,0.853,0.326,0.2615,0.245,negative
0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,negative
0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875,negative
0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,negative
0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,negative
0.64,0.5,0.15,1.2015,0.559,0.231,0.3355,negative
0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,negative
0.525,0.4,0.13,0.622,0.2655,0.147,0.184,negative
0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,negative
0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,negative
0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,negative
0.525,0.4,0.13,0.6995,0.3115,0.131,0.223,negative
0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,negative
0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,negative
0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,negative
0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,negative
0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,negative
0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,negative
0.505,0.395,0.125,0.635,0.29,0.1555,0.175,negative
0.43,0.35,0.09,0.397,0.1575,0.089,0.12,negative
0.55,0.435,0.11,0.806,0.3415,0.203,0.215,negative
0.55,0.44,0.125,0.765,0.33,0.2125,0.245,negative
0.545,0.41,0.115,0.6765,0.29,0.158,0.22,negative
0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,negative
0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,negative
0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,negative
0.32,0.25,0.08,0.1565,0.057,0.034,0.06,negative
0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,negative
0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,negative
0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,negative
0.435,0.35,0.125,0.459,0.197,0.1145,0.145,negative
0.505,0.385,0.11,0.655,0.3185,0.15,0.185,negative
0.53,0.405,0.13,0.738,0.2845,0.17,0.193,negative
0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,negative
0.485,0.355,0.12,0.5085,0.21,0.122,0.135,negative
0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,negative
0.41,0.315,0.095,0.306,0.121,0.0735,0.09,negative
0.41,0.3,0.1,0.301,0.124,0.069,0.09,negative
0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,negative
0.35,0.265,0.11,0.209,0.066,0.059,0.075,negative
0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,negative
0.56,0.465,0.16,1.0315,0.432,0.2025,0.337,negative
0.58,0.46,0.15,1.0165,0.491,0.221,0.265,negative
0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,negative
0.49,0.4,0.115,0.569,0.256,0.1325,0.145,negative
0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,negative
0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,negative
0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,negative
0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,negative
0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,negative
0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,negative
0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,negative
0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,negative
0.625,0.47,0.175,1.179,0.605,0.258,0.271,negative
0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,negative
0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,negative
0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,negative
0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08,negative
0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,negative
0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,negative
0.5,0.365,0.125,0.528,0.229,0.103,0.1645,negative
0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,negative
0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,negative
0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,negative
0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,negative
0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,negative
0.575,0.475,0.16,0.895,0.3605,0.221,0.271,negative
0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,negative
0.58,0.47,0.165,1.041,0.54,0.166,0.279,negative
0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,negative
0.585,0.46,0.165,1.058,0.486,0.25,0.294,negative
0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,negative
0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,negative
0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,negative
0.625,0.5,0.175,1.273,0.564,0.302,0.374,negative
0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,negative
0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,negative
0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,negative
0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,negative
0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,negative
0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,negative
0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,negative
0.665,0.5,0.175,1.4355,0.643,0.345,0.37,negative
0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,negative
0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,negative
0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,negative
0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,negative
0.515,0.405,0.13,0.573,0.213,0.134,0.195,negative
0.53,0.425,0.13,0.781,0.3905,0.2005,0.215,negative
0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,negative
0.53,0.41,0.125,0.769,0.346,0.173,0.215,negative
0.545,0.41,0.14,0.737,0.349,0.15,0.212,negative
0.55,0.4,0.135,0.717,0.3315,0.1495,0.221,negative
0.555,0.43,0.15,0.783,0.345,0.1755,0.247,negative
0.575,0.45,0.145,0.872,0.4675,0.18,0.217,negative
0.585,0.46,0.14,0.7635,0.326,0.153,0.265,negative
0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,negative
0.63,0.505,0.195,1.306,0.516,0.3305,0.375,negative
0.67,0.54,0.2,1.46,0.6435,0.328,0.4165,negative
0.675,0.53,0.195,1.4985,0.62,0.375,0.425,negative
0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,negative
0.465,0.36,0.105,0.452,0.22,0.159,0.1035,negative
0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,negative
0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,negative
0.51,0.38,0.135,0.681,0.3435,0.142,0.17,negative
0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,negative
0.55,0.415,0.18,1.1655,0.502,0.301,0.311,negative
0.615,0.475,0.15,1.0375,0.476,0.2325,0.283,negative
0.625,0.47,0.15,1.124,0.556,0.2315,0.287,negative
0.635,0.505,0.17,1.2635,0.512,0.322,0.355,negative
0.65,0.525,0.165,1.238,0.647,0.2485,0.3005,negative
0.515,0.39,0.12,0.565,0.235,0.135,0.179,negative
0.525,0.4,0.14,0.6055,0.2605,0.108,0.21,negative
0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,negative
0.53,0.425,0.13,0.702,0.2975,0.1395,0.22,negative
0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,negative
0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695,negative
0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,negative
0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,negative
0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,negative
0.575,0.46,0.15,0.927,0.333,0.207,0.2985,negative
0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,negative
0.585,0.47,0.145,0.9565,0.4025,0.2365,0.265,negative
0.59,0.45,0.125,0.86,0.437,0.1515,0.245,negative
0.625,0.495,0.155,1.177,0.5055,0.278,0.345,negative
0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,negative
0.555,0.445,0.13,0.8625,0.4225,0.155,0.24,negative
0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,negative
0.605,0.48,0.175,1.1685,0.4815,0.2305,0.356,negative
0.615,0.455,0.135,1.059,0.4735,0.263,0.274,negative
0.41,0.325,0.1,0.3555,0.146,0.072,0.105,negative
0.53,0.41,0.145,0.8255,0.375,0.204,0.245,negative
0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,negative
0.445,0.37,0.125,0.515,0.2495,0.087,0.159,negative
0.57,0.465,0.155,0.9685,0.446,0.261,0.255,negative
0.335,0.255,0.085,0.1785,0.071,0.0405,0.055,negative
0.57,0.44,0.19,1.018,0.447,0.207,0.265,negative
0.49,0.385,0.16,0.656,0.2455,0.171,0.205,negative
0.515,0.4,0.115,0.578,0.191,0.1445,0.17,negative
0.295,0.225,0.09,0.1385,0.048,0.046,0.05,negative
0.29,0.225,0.075,0.152,0.071,0.059,0.045,negative
0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,negative
0.435,0.355,0.125,0.4075,0.1535,0.074,0.165,negative
0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,negative
0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,negative
0.61,0.5,0.18,1.438,0.5185,0.3735,0.3345,negative
0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,negative
0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,negative
0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,negative
0.61,0.475,0.15,1.142,0.62,0.237,0.245,negative
0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,negative
0.64,0.525,0.175,1.382,0.646,0.3115,0.37,negative
0.59,0.45,0.16,0.998,0.445,0.214,0.301,negative
0.625,0.495,0.155,1.025,0.46,0.1945,0.34,negative
0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,negative
0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,negative
0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,negative
0.64,0.49,0.18,1.36,0.653,0.347,0.305,negative
0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,negative
0.55,0.435,0.125,0.741,0.348,0.1585,0.206,negative
0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,negative
0.6,0.47,0.13,1.0105,0.423,0.219,0.298,negative
0.61,0.365,0.155,1.0765,0.488,0.249,0.27,negative
0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,negative
0.65,0.495,0.16,1.3105,0.577,0.3315,0.355,negative
0.67,0.525,0.18,1.4915,0.728,0.343,0.381,negative
0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,negative
0.715,0.565,0.18,1.79,0.844,0.3535,0.5385,negative
0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,negative
0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,negative
0.57,0.45,0.15,0.9645,0.531,0.189,0.209,negative
0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,negative
0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,negative
0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,negative
0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,negative
0.54,0.415,0.135,0.709,0.3195,0.174,0.185,negative
0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,negative
0.615,0.495,0.155,1.0805,0.52,0.19,0.32,negative
0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,negative
0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,negative
0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,negative
0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,positive
0.71,0.54,0.165,1.959,0.7665,0.261,0.78,positive
0.725,0.56,0.21,2.141,0.65,0.398,1.005,positive
0.61,0.5,0.24,1.642,0.532,0.3345,0.69,positive
0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,positive
0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,positive
0.605,0.49,0.18,1.227,0.48,0.287,0.35,positive
0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,positive
0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,positive
0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,positive
0.565,0.455,0.17,0.9065,0.342,0.156,0.32,positive
0.565,0.455,0.15,0.8205,0.365,0.159,0.26,positive
0.525,0.41,0.175,0.874,0.3585,0.207,0.205,positive
0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,positive
0.485,0.38,0.14,0.673,0.2175,0.13,0.195,positive
0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,positive
0.65,0.525,0.18,1.626,0.597,0.3445,0.53,positive
0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,positive
0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,positive
0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,positive
0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,positive
0.6,0.475,0.18,1.162,0.511,0.2675,0.32,positive
0.565,0.48,0.175,0.957,0.3885,0.215,0.275,positive
0.7,0.53,0.19,1.3185,0.548,0.233,0.42,positive
0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,positive
0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,positive
0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,positive
0.465,0.35,0.13,0.494,0.1945,0.103,0.155,positive
0.635,0.5,0.18,1.312,0.529,0.2485,0.485,positive
0.645,0.485,0.155,1.489,0.5915,0.312,0.38,positive
0.64,0.54,0.175,1.571,0.627,0.271,0.475,positive
0.545,0.405,0.175,0.98,0.2585,0.207,0.38,positive
0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,positive
0.635,0.51,0.155,1.156,0.428,0.289,0.315,positive
0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,positive
0.5,0.405,0.14,0.6735,0.265,0.124,0.25,positive
0.655,0.53,0.19,1.428,0.493,0.318,0.565,positive
0.545,0.41,0.145,0.873,0.3035,0.196,0.31,positive
0.605,0.475,0.16,1.616,0.5495,0.332,0.34,positive
0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,positive
0.655,0.5,0.18,1.4155,0.508,0.314,0.445,positive
0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,positive
0.6599458117425986,0.5052709412870074,0.19989162348519704,1.6283053755752397,0.4865704447346219,0.29722759068108623,0.6095123056833865,positive
0.572430558113541,0.4502690988209632,0.15358072964628897,0.82107726215634,0.3102690988209632,0.13712803865807932,0.3133767383493485,positive
0.7363277657053173,0.5795227993928319,0.18908713323213866,1.9349625298927144,0.820997834172218,0.42855598239728265,0.5804335894383696,positive
0.6994549089927669,0.5488240226843355,0.2036137272481917,2.034828215501187,0.6670832796110873,0.3949665204428911,0.8102186810698468,positive
0.6332521688467782,0.5082521688467782,0.15624845082372987,1.1562996281976952,0.4321448567347832,0.28792633229159226,0.31524969016474597,positive
0.49925910720406336,0.4037651786734389,0.14,0.6734753035734687,0.2626538394795339,0.12429635711837467,0.24728339308156558,positive
0.5564687577624657,0.43580470496554785,0.14786718944061641,0.8428945108735275,0.3387664301195821,0.17478279813943842,0.2813281055938357,positive
0.5705224418174529,0.455,0.164477558182547,0.880728604851886,0.3320596047285846,0.1495571512129715,0.32,positive
0.6577577723901085,0.5162111380494581,0.19551554478021682,1.5396897817993902,0.4894148958928591,0.30641735596154474,0.5898199515109755,positive
0.6717284308679226,0.5264660538584903,0.20060183842452903,1.352425882958493,0.514427511655658,0.27399377524151225,0.41293210771698063,positive
0.49814658181479665,0.3947899045416462,0.13342670909260168,0.7365965895290788,0.23886319544904452,0.14511856908701615,0.226223131810142,positive
0.6449122231588444,0.5033625922803852,0.16991222315884444,1.434330516770157,0.5796232155722046,0.3069385562111911,0.4080114849157629,positive
0.5550949811775072,0.4475712358831304,0.15761872647188402,0.8965949811775072,0.327266284501542,0.1609525094112464,0.3125712358831304,positive
0.6485473621578198,0.5062526286882245,0.18208420956274152,1.313354736215782,0.5329599981692089,0.24526947517775066,0.47145263784218017,positive
0.6821175421375371,0.5194809071397277,0.19,1.327230847074026,0.5443183174989047,0.2339467183574245,0.4305190928602723,positive
0.6581758779390262,0.5081922136067042,0.19771984742378276,1.625073236868603,0.49931445747834097,0.294628641320734,0.5976871760884268,positive
0.642472101523513,0.512806883241358,0.16511159390594837,1.5304575350143883,0.6094480791830583,0.29127123249280584,0.42803007105325475,positive
0.4290291132011651,0.31816573180091545,0.125,0.3596948450020805,0.11761545134119007,0.05730582264023302,0.13224479164064915,positive
0.653242933234856,0.5069811552929494,0.18247644411618677,1.4216827119153426,0.5414928717085401,0.30045989347120156,0.39648586646971207,positive
0.5561693899725324,0.43513112743819804,0.15896173746566558,0.8917087282039918,0.325001075697125,0.1736612200549351,0.31558469498626623,positive
0.6605614790862085,0.525,0.200508167310332,1.3632995692086116,0.5062270866793267,0.298467671846573,0.40326225096549795,positive
0.5390366005020831,0.4355274503765624,0.13754575062760394,0.8805366005020832,0.3033794432468487,0.1689816997489584,0.30052745037656237,positive
0.5473413403285522,0.4108533508213803,0.17441466491786195,0.971395574292571,0.2682750958717051,0.20102958216219208,0.37297597901434365,positive
0.6042803327178865,0.48357008317947164,0.1692897504615851,1.0826345157127242,0.40350941774369853,0.2359214408511997,0.32642520794867913,positive
0.5928453189515241,0.475,0.1835773405242379,1.130400158702565,0.49967175500657995,0.2491363186422454,0.3164226594757621,positive
0.6266376322160692,0.515184174115557,0.1692732709497439,1.5881801871507684,0.5974118999070103,0.2942886981377081,0.42345943854769524,positive
0.5485392936642977,0.41455052042552554,0.14601122676122788,0.8693090223215182,0.3046629107754121,0.19018544612293958,0.3110112267612279,positive
0.578738397908275,0.455,0.15626160209172496,0.8423874764280498,0.3172708837651049,0.13997186910701245,0.32,positive
0.5375242282864781,0.41397092605622643,0.1809806173708176,0.9779067839202138,0.2704612347416352,0.2089437006455157,0.372524228286478,positive
0.655,0.5021828901909258,0.18072763006364193,1.4164095375795525,0.5069085549045371,0.31429105202545676,0.45373156076370325,positive
0.5321255976283857,0.41801629733193396,0.1705465014822589,0.864469513172034,0.3596579096146127,0.1984492828459371,0.2147976967390304,positive
0.5694063665926525,0.455,0.15146878886421752,0.8252001243654961,0.3503121113578248,0.15297796565670818,0.27762546637061025,positive
0.528253951225676,0.427440463419257,0.12244046341925699,0.8627579560904727,0.2892112744029567,0.1746170707290877,0.287559536580743,positive
0.5657581142957404,0.44872743428872214,0.17669675428170384,0.9569846599964908,0.3730857263020569,0.17048737256200402,0.3000902628451115,positive
0.5452672084299766,0.41060121896744706,0.14506680210749412,0.8722985778713117,0.3043216659221777,0.1955056644045435,0.30933197892505876,positive
0.6106723982758522,0.4969005221485358,0.1699708318302448,1.1086547443368509,0.44128661324934226,0.25213432661802215,0.3112572920424388,positive
0.5579724751473412,0.42667889661801006,0.1487064214706689,0.8594715616320585,0.30776238469126926,0.1746880765436538,0.3137064214706689,positive
0.6571919935088626,0.5184479848540126,0.20219199350886252,1.3552679740354503,0.49647519069603624,0.30326162834463355,0.39783197187173763,positive
0.6492201138092913,0.5268462997915649,0.19105502845232283,1.826039848019867,0.7006777988900365,0.38900113851485335,0.42717836779584617,positive
0.5252799787235426,0.41,0.17458003191468613,0.8739860010638228,0.35773005851025785,0.20684601170205158,0.20646988829859853,positive
0.5299324362948212,0.41,0.16760134555776823,0.8737533781852589,0.34493580018924175,0.20428716003784836,0.2308952905478111,positive
0.64,0.5181690854935821,0.16876259585530917,1.4914730971551917,0.6192032448191365,0.29127156347024524,0.42198206477012784,positive
0.5433299856660266,0.41,0.14750502150096007,0.8730835007166987,0.3080925394184268,0.19691850788368537,0.3012324247466398,positive
0.5688857345796371,0.4511142654203628,0.17388573457963719,0.9445801988804444,0.3715315828052426,0.1641600426172381,0.30057132710181406,positive
0.6055840424973581,0.48058404249735803,0.17162393625396294,1.1226325003936257,0.44538750065604293,0.2540982980063407,0.32558404249735806,positive
0.548031119630121,0.4422733397225907,0.14878889953765118,0.889531119630121,0.31675879044980493,0.16448444018493952,0.3072733397225907,positive
0.5612541754037894,0.4734448069566315,0.175,0.949227413962863,0.3856906315528421,0.21425083508075787,0.26844480695663153,positive
0.4327838237614306,0.32111586152683835,0.125,0.3663996852882689,0.12145061998488982,0.05805676475228612,0.1343367018099399,positive
0.5674631255214543,0.45253687447854574,0.1724631255214543,0.930638630110252,0.36071975396305267,0.16117256359505402,0.3076843723927285,positive
0.42585152335755644,0.3160218280290677,0.12517030467151127,0.3561445199703415,0.115220077182264,0.05726637102180079,0.1313624373720903,positive
0.5729700903700881,0.455,0.1620299096299119,0.8693062449395889,0.3276538373338414,0.14670156123489722,0.32,positive
0.48387393448636323,0.3783109017295449,0.13943696724318164,0.6629217136529512,0.21620502465931773,0.12847981155659038,0.1927478689727265,positive
0.6308413729306175,0.5058413729306175,0.15797044790670178,1.1567129074976084,0.43786188705025,0.28644541480023644,0.3155940895813404,positive
0.6152886811049697,0.5035257874033131,0.23412368766114475,1.6168493831896995,0.5274164763756929,0.3325608169281778,0.6753092191528618,positive
0.45096841208464256,0.3377223605740622,0.12824605151058033,0.444363257749423,0.16608603447140116,0.08668827904839696,0.1462302575529016,positive
0.5548417951706169,0.44738134637796273,0.14238134637796268,0.8321819355537905,0.3440487025393974,0.1633172370524878,0.2676186536220373,positive
0.5416652493961136,0.4374989370470852,0.1324989370470852,0.8473349631944693,0.3168720768794843,0.16891726900665172,0.27750106295291477,positive
0.6624587843491548,0.5070805098339002,0.20037827451525458,1.6498109140037465,0.4926847883244124,0.30082057260407125,0.624941843352556,positive
0.6856334123309592,0.5343769413071444,0.1743717644880926,1.9025819777816826,0.7428831534900067,0.3087959988892723,0.635674826883374,positive
0.525,0.4207143187057721,0.13571416474550232,0.868642840647114,0.3042141185574214,0.18485707467473766,0.2657144726660418,positive
