Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc,Class
0.44,0.35,0.55,0.14,0.5,0.52,0.22,positive
0.73,0.59,0.35,0.15,0.5,0.54,0.22,positive
0.6,0.37,0.52,0.15,0.5,0.55,0.26,positive
0.64,0.61,0.56,0.15,0.5,0.54,0.22,positive
0.48,0.58,0.58,0.12,0.5,0.49,0.22,positive
0.65,0.58,0.53,0.21,0.5,0.51,0.22,positive
0.48,0.49,0.49,0.26,0.5,0.39,0.27,positive
0.57,0.54,0.32,0.15,0.5,0.52,0.25,positive
0.4,0.36,0.32,0.16,0.5,0.51,0.27,positive
0.57,0.47,0.48,0.17,0.5,0.52,0.26,positive
0.4047804618993939,0.35503136258580087,0.5550313625858009,0.16012545034320352,0.5,0.4998745496567965,0.2401254503432035,positive
0.46277878094259867,0.5699542888831826,0.5699542888831826,0.12717550794058388,0.5,0.4943053047643503,0.22,positive
0.7658693631618945,0.7619779173752206,0.5597608089485683,0.2668261273676211,0.5,0.5802391910514316,0.31436982788953716,positive
0.7039304916669712,0.5818532786459285,0.3451119671875571,0.15,0.5,0.5367413114583715,0.22488803281244288,positive
0.707056874740043,0.7828227498960172,0.5328227498960172,0.2414113749480086,0.5,0.48635118726603865,0.22352843737002148,positive
0.4071516144358737,0.3456967711282526,0.5249693494744421,0.15357580721793684,0.5,0.5371516144358737,0.22,positive
0.4381442082620865,0.3502651131054162,0.5502651131054163,0.14106045242166487,0.5,0.5189395475783352,0.22106045242166486,positive
0.5737240930037542,0.5975732674382038,0.5682844883745307,0.1375732674382039,0.5,0.5192887790636732,0.22,positive
0.7376092096569983,0.5825516493007589,0.5111953951715008,0.2776092096569983,0.5,0.5740230241424957,0.22,positive
0.5269810328849649,0.4515094835575176,0.4942452582212412,0.15905690134510547,0.5,0.55,0.22,positive
0.5778928118069565,0.5983549022138043,0.5677633985241305,0.13835490221380434,0.5,0.5205915036896739,0.22,positive
0.7185972931065412,0.6092382959713412,0.4529261149507765,0.2371945862130824,0.5,0.5942684712623059,0.22,positive
0.49040781795406685,0.3912427601442365,0.5270873554754242,0.11708735547542418,0.5,0.5337475867147455,0.22,positive
0.4690876642136813,0.49,0.4681753284273626,0.27091233578631874,0.5,0.4772986862905496,0.24271916053420325,positive
0.46643887103458226,0.4888292961755305,0.45175605573670424,0.2735611289654178,0.5,0.5482439442632958,0.222341407648939,positive
0.46949847480413937,0.405444105512031,0.3261389736219923,0.14683384173195355,0.5,0.5022779472439846,0.2752507625979303,positive
0.437283339467674,0.3503880943617608,0.550388094361761,0.14155237744704344,0.5,0.5184476225529566,0.22155237744704342,positive
0.5137859743217574,0.4581070128391213,0.49094649358043935,0.19864207703472764,0.5,0.55,0.22,positive
0.7804208865210703,0.7867155070858196,0.5641262659563211,0.26391582269578595,0.5,0.5758737340436788,0.29545284752260853,positive
0.6402894178774768,0.5716766438949801,0.5272255479649934,0.21,0.5,0.5127744520350066,0.22,positive
0.41798443997245144,0.32403112005509704,0.48705446009641984,0.15899221998622573,0.5,0.5479844399724515,0.22,positive
0.7479955991783296,0.6885422539478759,0.48145774605212394,0.130364436513031,0.5,0.5694533452304534,0.3967200713827211,positive
0.42188885921511854,0.32283328882267787,0.48661100725291495,0.15811114078488145,0.5,0.5471667111773222,0.22,positive
0.47486925492420073,0.37852939039252786,0.5341503386708178,0.12415033867081784,0.5,0.5295097967975093,0.22,positive
0.3971524540615909,0.37067829726903434,0.5471524540615909,0.15142377296920456,0.5,0.5292881135153977,0.22,positive
0.7436204873941248,0.6581024369706239,0.43853316806181103,0.13637951260587522,0.5,0.5604307310911871,0.342584386547123,positive
0.7844875310969455,0.7936288028648073,0.5653462593290836,0.2631024937806109,0.5,0.5746537406709163,0.29016620957397093,positive
0.4,0.3893018419279252,0.32976728064264177,0.16976728064264177,0.5,0.51,0.30906912257056696,positive
0.6648425213928851,0.5818553151741106,0.49660432686600847,0.19886810895533613,0.5,0.5155659455223319,0.22,positive
0.416911286486404,0.41818547747734003,0.363822572972808,0.20100402522507402,0.5,0.521274190990936,0.28463307027039403,positive
0.7029981310383822,0.7141797793145988,0.508271537933516,0.29527340689513376,0.5,0.5435449448286497,0.2259082413810828,positive
0.466065256692717,0.49,0.462130513385434,0.273934743307283,0.5,0.5014779464582642,0.23516314173179248,positive
0.4,0.3711317145966035,0.3237105715322012,0.16371057153220117,0.5,0.51,0.28484228612880463,positive
0.48,0.5689724812174347,0.5689724812174347,0.13715391810621258,0.5,0.4777472013527053,0.22612639932364736,positive
0.4052985791239223,0.3494028417521554,0.531454973066272,0.15264928956196114,0.5,0.5352985791239223,0.22,positive
0.6598259534807576,0.6193038139230302,0.53,0.21589557208845453,0.5,0.5041044279115454,0.22,positive
0.41922726023997436,0.6405151598400172,0.3630779256457216,0.09974242007999146,0.5,0.5271796542742869,0.25,positive
0.48532318631339166,0.4846768136866083,0.49,0.2511280228110139,0.5,0.41839032700475565,0.2611280228110139,positive
0.4674323773195056,0.3724446723523227,0.537530737582043,0.12753073758204292,0.5,0.5274815574507743,0.22,positive
0.7903417369633632,0.7948885161047443,0.5526151265340538,0.23488851610474432,0.5,0.57,0.2951114838952557,positive
0.6504747428999663,0.5806646400599529,0.5300949485799933,0.21066464005995286,0.5,0.5108545372199395,0.2217090744398788,positive
0.7234952929235429,0.6030094141529141,0.5223785303073428,0.28,0.5,0.5882523535382285,0.29427118184405676,positive
0.5239587339945052,0.4920825320109896,0.5297614468634226,0.10116054257378349,0.5,0.527678914852433,0.22,positive
0.5397543329335595,0.4210565184296799,0.32223587039258006,0.12341522235548019,0.5,0.49447174078516004,0.24012283353322028,positive
0.6022875043645776,0.5391035751696378,0.5163678583898793,0.21,0.5,0.5236321416101207,0.22,positive
0.5086151465120713,0.46276970697585745,0.48515301279224954,0.22523338836721576,0.5,0.5465378662801783,0.22969397441550093,positive
0.44584127518430117,0.49283174496313975,0.4584952348894193,0.2644254027027313,0.5,0.5457523825552903,0.22,positive
0.5785502986312491,0.40002958191625126,0.5114201194524997,0.12426035835749889,0.5,0.55,0.24284023890499928,positive
0.6649128932208502,0.6000348427116599,0.5475435533895749,0.18238676118710534,0.5,0.5499651572883402,0.22,positive
0.45718199881407223,0.37700028385068496,0.535272572445081,0.15718199881407224,0.5,0.5273637137774596,0.22,positive
0.486906283934922,0.4989687613116407,0.42309371606507795,0.4145314196746101,0.5,0.5051561934417966,0.3455626583629694,positive
0.49928081973475236,0.45025529066795666,0.495846825599226,0.204153174400774,0.5,0.5480510581335913,0.22,positive
0.4955777609692643,0.3954727135203071,0.5247373813776072,0.11473738137760714,0.5,0.5351575711734358,0.22,positive
0.5047937239832323,0.4652062760167678,0.49,0.21867712669461292,0.5,0.5222331945772387,0.22867712669461293,positive
0.3924034720721428,0.35679950398969384,0.5567995039896939,0.16719801595877554,0.5,0.49280198404122444,0.24719801595877552,positive
0.3725372125804559,0.5079104645699241,0.5079104645699241,0.17940290943534198,0.5,0.5064180197045061,0.22522383857519,positive
0.35329579855190046,0.41724411751139145,0.3027558824886086,0.17389201678734165,0.5,0.46329579855190045,0.27497184891392534,positive
0.7294581174259851,0.5909753886332269,0.35,0.15010837651480297,0.5,0.5408670121184239,0.22,positive
0.3609461802358074,0.49580729646288957,0.5147309011790369,0.17094618023580738,0.5,0.5162152790567706,0.22378472094322946,positive
0.38904559878566397,0.39639006737502935,0.3236099326249707,0.17091286676786135,0.5,0.49904559878566396,0.301784199089248,positive
0.5508411817445751,0.46680686362409585,0.4831931363759041,0.1827725455036166,0.5,0.5295794091277125,0.24722745449638342,positive
0.47900123934101607,0.49,0.48800247868203217,0.2609987606589839,0.5,0.3979900852718712,0.26750309835254027,positive
0.6524696426531222,0.583457499714371,0.5304939285306245,0.21345749971437106,0.5,0.51444535677562,0.2288907135512399,positive
0.36573437888123284,0.42398431678150705,0.5386718944061644,0.17573437888123286,0.5,0.49706248447506857,0.24293751552493145,positive
0.41263674424339597,0.33472651151320804,0.5057713951481141,0.156318372121698,0.5,0.542636744243396,0.22,positive
0.744844552197832,0.7262357387363143,0.5534533656593495,0.27103108956043365,0.5,0.5865466343406504,0.34170208214281844,positive
0.7824073536981162,0.7466973070754839,0.5524073536981161,0.2658642154339613,0.5,0.5729321077169806,0.2553394614150968,positive
0.4867133545463008,0.49671335454630083,0.4430065181758941,0.3741270272871143,0.5,0.4638469000093092,0.33042019091670755,positive
0.5663740771961481,0.4170762919253927,0.5065496308784593,0.10964889263537769,0.5,0.55,0.23309926175691847,positive
0.5354274152987823,0.4200949811775072,0.3224762547056232,0.1248575282337392,0.5,0.4949525094112464,0.24228629235060878,positive
0.49124211393532635,0.4308210661216188,0.48791579043725847,0.19957895218629243,0.5,0.55,0.22,positive
0.5510656328515098,0.493142004292599,0.5010381857205446,0.1594809071397277,0.5,0.5136885442838366,0.25158472571178214,positive
0.4645603051524345,0.48726381690853926,0.4536482441219476,0.2736155727865917,0.5,0.55,0.22,positive
0.7494420304702581,0.7340514517994389,0.5548326091410775,0.2701115939059484,0.5,0.5851673908589226,0.3357253603886644,positive
0.45769764959933423,0.48021501079717044,0.45172676280049934,0.2730929487980027,0.5,0.55,0.22,positive
0.6625235558838132,0.6505424005908638,0.5329717329394241,0.21757066765143968,0.5,0.54,0.22,positive
0.5014316448489285,0.40026225487639605,0.5220765250686689,0.11207652506866886,0.5,0.5367540849587987,0.22,positive
0.691122958172417,0.708983665379336,0.503368874517251,0.29326225096549796,0.5,0.5332622509654981,0.22,positive
0.7259633994979169,0.5980732010041663,0.5205274503765623,0.28,0.5,0.5870183002510415,0.2831647022593742,positive
0.5453173193428958,0.4423413403285521,0.4988293298357239,0.1040480419713127,0.5,0.55,0.22,positive
0.6557196672821134,0.5971590018463403,0.5257102495384149,0.22286925138475522,0.5,0.5142897504615851,0.22,positive
0.5776151063171747,0.4562338305110781,0.32,0.11953957473130111,0.5,0.4971546810484758,0.22715468104847583,positive
0.6652712774673496,0.6258138324020486,0.5185465418994879,0.2443603743015365,0.5,0.5214534581005121,0.22,positive
0.5811234943735069,0.5541571746571907,0.32303368028368373,0.15101122676122788,0.5,0.530112267612279,0.2469663197163163,positive
0.48747679581655007,0.49915893193885,0.4225232041834499,0.4173839790827504,0.5,0.5042053403057499,0.34822504714390035,positive
0.5770096913145911,0.4628933955394968,0.32,0.1219612347416352,0.5,0.4989709260562264,0.2289709260562264,positive
0.5129105202545677,0.45854473987271616,0.49072763006364195,0.20126843923629678,0.5,0.55,0.22,positive
0.5046558017787107,0.4813767928851573,0.506032594663868,0.19396740533613205,0.5,0.5393116035574214,0.22,positive
0.46887391180190946,0.4306242227156496,0.5105630440990453,0.20118726681469487,0.5,0.5294369559009547,0.23175031091374015,positive
0.464067439032095,0.487559536580743,0.453253951225676,0.27430558535506705,0.5,0.55,0.22,positive
0.28678701712681537,0.4642418857042596,0.281209428521298,0.17915162285914807,0.5,0.40102890283107495,0.22,positive
0.48,0.5787975620651058,0.5787975620651058,0.12187045900983542,0.5,0.4886639578501175,0.2206680210749412,positive
0.737427079575612,0.7949708318302449,0.5449708318302449,0.2474854159151224,0.5,0.5136843716180508,0.23871353978780602,positive
0.696293578529331,0.6685321073533446,0.5251743141173244,0.28741284294133784,0.5,0.5777614711759865,0.3332844135279597,positive
0.5425119826903001,0.44374400865485,0.49812799567257504,0.11246405192909968,0.5,0.55,0.22,positive
0.4189449715476772,0.32211005690464567,0.4836925995831299,0.1594724857738386,0.5,0.5489449715476772,0.22,positive
0.7393000531911436,0.5718198617030268,0.5098600106382287,0.2802799787235426,0.5,0.5794400425529148,0.22,positive
0.7171283996215164,0.729594617768927,0.5172635270318741,0.29013512741035763,0.5,0.5473986544422318,0.23233109073705294,positive
0.6649496165787634,0.6536618290128359,0.4290145129614923,0.15623740414469084,0.5,0.5898992331575268,0.22,positive
0.44918507883685355,0.3575150645028802,0.5458249641650667,0.13582496416506656,0.5,0.5225050215009601,0.22,positive
0.4555997158850794,0.37451383924798193,0.5366288149556462,0.15559971588507943,0.5,0.526685592522177,0.22,positive
0.41766383001056784,0.35558404249735803,0.55,0.14558404249735804,0.5,0.5255840424973581,0.22,positive
0.4715155598150605,0.49,0.47303111963012096,0.26848444018493955,0.5,0.4578755214795162,0.2487888995376512,positive
0.3971906315528421,0.36,0.5509364561490527,0.15280936844715792,0.5,0.5253177192547368,0.22374582459621056,positive
0.3855676475228612,0.3711197482306151,0.5522161762385694,0.18333592446918454,0.5,0.4877838237614306,0.25555210070775397,positive
0.4098525020858172,0.34029499582836564,0.39882001668653744,0.16,0.5,0.5297050041716344,0.24536874478545706,positive
0.43920524486628065,0.3501135364476742,0.5501135364476742,0.1404541457906968,0.5,0.5195458542093032,0.22045414579069678,positive
0.3362392770392952,0.4271937550604112,0.29280624493958884,0.17531339358005874,0.5,0.44623927703929517,0.2621794577794714,positive
0.579008524109094,0.5428151637840919,0.3216890982704551,0.15,0.5,0.5211260655136367,0.24831090172954487,positive
0.7118817916268072,0.6701990457655722,0.5435645374880422,0.2776236416746386,0.5,0.5964354625119578,0.3845536708851507,positive
0.5417731627256027,0.4564536745487947,0.5094020997421684,0.09352578740331315,0.5,0.5429484251933737,0.22,positive
0.39507896978839363,0.5029842060423213,0.48895261812696383,0.20858686676723304,0.5,0.5305236909365181,0.22,positive
0.5471440391338881,0.4979350632808034,0.5053955120734577,0.15730224396327117,0.5,0.5123813463779627,0.24984179517061694,positive
0.6666652493961136,0.6299957481883408,0.5175010629529148,0.24749681114125563,0.5,0.5224989370470853,0.22,positive
0.7281086274237271,0.5934044706372912,0.35,0.15037827451525457,0.5,0.5430261961220366,0.22,positive
0.4074974115904741,0.36375905943334075,0.3862305869285556,0.16625129420476298,0.5,0.5249948231809481,0.27626164784286666,positive
0.694285604314093,0.6542859122346325,0.35,0.1571428791371814,0.5,0.5971430330974512,0.22,positive
0.5060579738456839,0.46394202615431623,0.49,0.21657004359052698,0.5,0.5289758605103136,0.226570043590527,positive
0.4402472509335015,0.37565170869636166,0.32,0.14882020807402738,0.5,0.505528083229611,0.2588202080740274,positive
0.3570578031552489,0.6719089586769346,0.37558670473287337,0.08367774605593888,0.5,0.5248511555216856,0.24889667618321834,positive
0.7987845525310184,0.8195138210124073,0.5695138210124073,0.2597569105062037,0.5,0.5689060972779165,0.2693922762655092,positive
0.7387951530683056,0.5724096938633888,0.5109036351987708,0.28,0.5,0.5806024234658472,0.22542181119262497,positive
0.6995684008804942,0.776547207043954,0.5287052026414828,0.24258959471703456,0.5,0.48258959471703455,0.22,positive
0.5678228622739614,0.4667342934109421,0.48217713772603854,0.1612914490958457,0.5,0.5232657065890579,0.25564572454792284,positive
0.322216088726904,0.486385055454315,0.391925277271575,0.174722988909137,0.5,0.458601144181219,0.22,positive
0.49098492854329795,0.5003517601940349,0.4207738724268769,0.43056281631045595,0.5,0.5003517601940349,0.35901507145670203,positive
0.4570481374105841,0.4774545839949822,0.452213896942062,0.2711444122317522,0.5,0.55,0.22,positive
0.717692714220066,0.6279989430278282,0.5055385428440132,0.2889229143119736,0.5,0.5621541713760528,0.22,positive
0.36368369572570813,0.509386050712382,0.509386050712382,0.17276277179428112,0.5,0.5160093296304828,0.22153487321904505,positive
0.3218478275336119,0.48615489220850744,0.3907744610425372,0.17476902155829852,0.5,0.45800271974211937,0.22,positive
0.330351891050821,0.49146993190676314,0.41734965953381564,0.17370601361864738,0.5,0.4718218229575841,0.22,positive
0.6743401048812306,0.5830425131101538,0.4752347640172311,0.19174492133907703,0.5,0.5191275393304615,0.22,positive
0.46909082129535545,0.49,0.46818164259071093,0.27090917870464454,0.5,0.4772734296371563,0.24272705323838867,positive
0.5025511616016812,0.47489767679663747,0.4639290656058844,0.29193722238150605,0.5,0.5313779040042031,0.2721418687882311,positive
0.39686286238462004,0.477529429357693,0.39439229174231305,0.226745144953848,0.5,0.39,0.24921571559615502,positive
0.7360463204196396,0.5907568177968923,0.5119768397901803,0.2760463204196396,0.5,0.5701158010490989,0.22,positive
0.6463642895726834,0.5750008981624396,0.5277276809829271,0.20818214478634167,0.5,0.5104544638034146,0.22181785521365832,positive
0.38809631895922303,0.5043807362081554,0.49314220862446617,0.20090595085514534,0.5,0.528428895687767,0.22,positive
0.6880164593630623,0.694049378089187,0.5014876554777032,0.29553703356689026,0.5,0.5385123445222968,0.22,positive
0.37316834593309,0.5176815351276358,0.5176815351276358,0.16451318919454583,0.5,0.5167079135167275,0.22,positive
0.3346788103342856,0.42810402730500013,0.2918959726949999,0.17544343247214286,0.5,0.4446788103342856,0.2610091077507142,positive
0.4055840882638156,0.5365907181538925,0.5365907181538925,0.15100662989007685,0.5,0.5086039779340461,0.22,positive
0.6427738118298113,0.601678564510566,0.5516785645105661,0.16664287097886796,0.5,0.531678564510566,0.22,positive
0.37940605798618804,0.35247515361104953,0.5449503072220991,0.17623757680552476,0.5,0.4931684811806633,0.25247515361104955,positive
0.40754111165420126,0.3546369840493998,0.5546369840493999,0.1585479361975993,0.5,0.5014520638024007,0.2385479361975993,positive
0.6265363564841684,0.5576676114013026,0.3306005668407816,0.15,0.5,0.5270670445605211,0.2393994331592184,positive
0.7191828055925436,0.6241247054593866,0.5058365611185087,0.28832687776298255,0.5,0.5633462444740349,0.22,positive
0.4,0.3876679608910505,0.3292226536303502,0.16922265363035016,0.5,0.51,0.3068906145214006,positive
0.7305121038466766,0.5925605192333834,0.3533286750033984,0.14948789615332334,0.5,0.540768155770015,0.22460893462009004,positive
0.7386210744479603,0.5705515702208158,0.5106894627760199,0.2782073967823484,0.5,0.5794484297791841,0.22,positive
0.7149080857009873,0.617165445738223,0.35,0.15301838285980254,0.5,0.5641470628784204,0.22,positive
0.5517513270290292,0.41824867297097085,0.5039171090096763,0.1821657819806472,0.5,0.55,0.2385561453462352,positive
0.7054763808143163,0.6597614098827773,0.5030952761628633,0.29380944767427347,0.5,0.5523811046514531,0.22,positive
0.416275900394139,0.3330343486205136,0.4520692529560423,0.1618620498029305,0.5,0.542551800788278,0.23675844822637462,positive
0.6931526882744612,0.684236558627694,0.5126107530978449,0.2936946234510776,0.5,0.5589161296467673,0.27674838894030174,positive
0.7918691530327555,0.798859797885164,0.5553644754589597,0.23885979788516415,0.5,0.57,0.2911402021148359,positive
0.522470194170862,0.47068873786073895,0.4935629126202463,0.21,0.5,0.5464370873797537,0.22,positive
0.4635492551415366,0.49,0.45709851028307324,0.2764507448584634,0.5,0.5216059588677071,0.22887313785384156,positive
0.5145180078037268,0.45548199219627317,0.4915060026012423,0.20698799479751545,0.5,0.55,0.22200800346832306,positive
0.4109712196644656,0.3572571950838836,0.55,0.1472571950838836,0.5,0.5272571950838836,0.22,positive
0.5447926323657789,0.42520736763422107,0.5015975441219263,0.18680491175614738,0.5,0.55,0.2354633921625684,positive
0.47745270891128144,0.4958175696370938,0.4325472910887186,0.3672635445564072,0.5,0.520912151814531,0.30144597491931335,positive
0.5160544364981388,0.4539455635018612,0.4920181454993796,0.20596370900124078,0.5,0.55,0.22269086066583949,positive
0.4306244722650286,0.3513393611049959,0.5513393611049959,0.14535744441998366,0.5,0.5146425555800164,0.22535744441998368,positive
0.6436693861851335,0.5745737595872572,0.5281912531957524,0.21,0.5,0.5118087468042476,0.22,positive
0.39683596306032975,0.39184568821480764,0.3281543117851924,0.17026366974497253,0.5,0.5068359630603297,0.3076269722952473,positive
0.5688231683439025,0.41364756431853655,0.507529267337561,0.11258780201268298,0.5,0.55,0.235058534675122,positive
0.6824221332312733,0.67726639969382,0.505683400076545,0.28294979977036494,0.5,0.534316599923455,0.22,positive
0.5502544774137011,0.44038171612055166,0.4997455225862989,0.09101790965480444,0.5,0.5496182838794483,0.22050895482740224,positive
0.6484958310889647,0.5845125067331058,0.5345125067331059,0.2009749865337883,0.5,0.5145125067331059,0.22,positive
0.5668216998507011,0.5087043141577438,0.5062347713859146,0.21,0.5,0.5337652286140855,0.22,positive
0.4685603541935839,0.40523563426524084,0.3261910914336898,0.14714654860213872,0.5,0.5023821828673796,0.27571982290320807,positive
0.6881948638688762,0.6954871596721904,0.5009025680655619,0.3063179764589333,0.5,0.540300856021854,0.22,positive
0.5052635676940712,0.478945729223715,0.5042092969177863,0.19579070308221377,0.5,0.5405271353881426,0.22,positive
0.4502997222826683,0.4689827316124479,0.42898273161244793,0.26059944456533657,0.5,0.5435331481884456,0.2280835647644431,positive
0.753130684020503,0.7403221628348551,0.5559392052061509,0.2693738631958994,0.5,0.5840607947938491,0.33093011077334616,positive
0.4573337552103899,0.3780747303272731,0.48414819502337664,0.18074097511688325,0.5,0.55,0.22,positive
0.5835207977717799,0.5335955756841576,0.5081274342455435,0.4471163734559376,0.5,0.55,0.22,positive
0.6405637549665093,0.6083087351004721,0.5583087351004722,0.15338252979905562,0.5,0.5383087351004722,0.22,positive
0.6886472237625505,0.6972944475251011,0.479708356438258,0.2810611326757074,0.5,0.5508222098995957,0.22,positive
0.6594191110043086,0.6538061412782109,0.34438703027390233,0.1581290100913008,0.5,0.6012901009130077,0.22561296972609768,positive
0.28003387920566436,0.4599717673286131,0.2600169396028322,0.1799943534657226,0.5,0.39003387920566435,0.22001411633569345,positive
0.5703699479218703,0.5404708428096533,0.3201008948877828,0.15003363162926095,0.5,0.5203363162926095,0.24989910511221716,positive
0.5299888535042364,0.518902512383711,0.5244568294397373,0.14777158528013137,0.5,0.5066629511680788,0.2422172682241051,positive
0.6453797483036102,0.5730696224554153,0.53,0.27930377544584684,0.5,0.5192405033927796,0.22,positive
0.4733718875858913,0.5761336010917699,0.5761336010917699,0.1227617135058786,0.5,0.4916570281035271,0.22,positive
0.4124823695338706,0.32601410437290357,0.4920282087458071,0.16300705218645178,0.5,0.5394753173474188,0.22601410437290353,positive
0.5774204430522959,0.4452651898256802,0.48989392406972787,0.16505303796513607,0.5,0.527420443052296,0.26,positive
0.5609891172937981,0.45648367594069716,0.48901088270620185,0.13395646917519252,0.5,0.5335163240593028,0.24197823458759626,positive
0.5409588409393954,0.4580823181212093,0.5103327532121196,0.09387478245454485,0.5,0.5422504350909103,0.22,positive
0.5509189794548256,0.44137846918223833,0.49908102054517445,0.0936759178193022,0.5,0.5486215308177618,0.2218379589096511,positive
0.5881852390335264,0.40938253655491197,0.5042469853780353,0.1578765073109824,0.5,0.5381852390335264,0.26,positive
0.6914321402751732,0.6594221475046884,0.35,0.15771357194496538,0.5,0.601708575559723,0.22,positive
0.4134340136881171,0.34298095209159,0.4307551026608785,0.16328299315594144,0.5,0.5368680273762343,0.2495469384034729,positive
0.6005497407633683,0.5120058935496314,0.49909358797710524,0.18527487038168416,0.5,0.516181282404579,0.24472512961831583,positive
0.782091864098358,0.7734388466557307,0.5377653553770443,0.21343884665573074,0.5,0.57,0.31656115334426926,positive
0.4888644240780037,0.4988644240780037,0.427949031453974,0.41069520932606307,0.5,0.4875086648580408,0.3497798167020334,positive
0.513873051515208,0.410441587603352,0.51642134022036,0.10642134022036003,0.5,0.540147195867784,0.22,positive
0.6708123080361517,0.6424369241084551,0.5143907689728862,0.2568276930813414,0.5,0.5256092310271139,0.22,positive
0.738615919586782,0.6808927356694255,0.49366089649586165,0.1641522412396541,0.5,0.5768304482479307,0.4,positive
0.40798364988880065,0.5004032700222398,0.4812098100667196,0.22278201487768073,0.5,0.5343950949666403,0.22,positive
0.6459127399872584,0.6203472949777022,0.5289581150668935,0.1514781849968146,0.5,0.5518254799745168,0.22,positive
0.7124046580612757,0.641747889040683,0.5044809316122552,0.29103813677548973,0.5,0.5579237264490206,0.22,positive
0.3326874434157537,0.4160937971535386,0.2863437217078768,0.17121875943070772,0.5,0.44268744341575367,0.2419531014232307,positive
0.48863424781391585,0.5627315043721682,0.5701322882126676,0.11629960807975034,0.5,0.4974007838404993,0.22,positive
0.587895514013628,0.4103482866212397,0.5038606853515041,0.15806965732424794,0.5,0.5378955140136281,0.26,positive
0.7567007614225321,0.7074219796985832,0.49206137056055765,0.1474219796985833,0.5,0.57,0.38257802030141674,positive
0.5974095591317995,0.3725904408682005,0.5191365197105998,0.15172696057880034,0.5,0.55,0.25884869294746643,positive
0.4228596078971533,0.3524486274432638,0.5524486274432638,0.14979450977305525,0.5,0.5102054902269447,0.22979450977305524,positive
0.6748123820541385,0.6544371461624157,0.511390713459396,0.2658278596218118,0.5,0.528609286540604,0.22,positive
0.41408159536198447,0.33183680927603104,0.5007144162330543,0.15704079768099224,0.5,0.5440815953619845,0.22,positive
0.5572221503094653,0.5229628670792872,0.3562039074565148,0.16277784969053463,0.5,0.5263889248452673,0.24361107515473268,positive
0.7849991376854554,0.8036354229295876,0.560453996708926,0.2654548590234708,0.5,0.5659088557323969,0.26318142622066154,positive
0.7394182133732847,0.5711635732534305,0.5104363399700365,0.28,0.5,0.5802908933133576,0.22261803982021874,positive
0.6659764976477361,0.6554588708835383,0.42362338734938537,0.15649412441193403,0.5,0.5919529952954723,0.22,positive
0.5582016462629074,0.452302469394361,0.49179835373709263,0.12280658505162936,0.5,0.5376975306056391,0.23640329252581468,positive
0.40784488090199467,0.3443102381960107,0.5225429168430188,0.15392244045099732,0.5,0.5378448809019947,0.22,positive
0.4712505015595254,0.49,0.47250100311905086,0.2687494984404746,0.5,0.45999598752379667,0.24812625389881354,positive
0.5971247608348125,0.3795841305506251,0.5161663477797499,0.15191682611012503,0.5,0.5471247608348125,0.26,positive
0.358209343957204,0.41437788269163106,0.30562211730836897,0.17348255467023302,0.5,0.468209343957204,0.27865700796790294,positive
0.6656994744579905,0.6562590540243829,0.5291606306504114,0.22709842337397163,0.5,0.54,0.22,positive
0.6478365301274115,0.5864904096177657,0.5364904096177657,0.19701918076446856,0.5,0.5164904096177657,0.22,positive
0.7158617112928508,0.6967260157125332,0.5220691443535747,0.2558617112928508,0.5,0.519654278232127,0.22,positive
0.5440121969794913,0.42598780302050865,0.5013373989931638,0.1873252020136724,0.5,0.55,0.23511653199088506,positive
0.534860007962142,0.42761273378720704,0.5068818145626628,0.09688181456266273,0.5,0.5458709112624024,0.22,positive
0.5089904124731528,0.46201917505369433,0.4864664436560349,0.22110546279531873,0.5,0.5474760311828821,0.22706711268793012,positive
0.5955877955721288,0.3847073480929038,0.5141170607628385,0.15294146961858077,0.5,0.5455877955721289,0.26,positive
0.6429364949935402,0.6151388662386954,0.5445834012839139,0.15073412374838505,0.5,0.5458729899870804,0.22,positive
0.4190539551695446,0.5444481405155677,0.5444481405155677,0.1453941853460231,0.5,0.5052365112076138,0.22,positive
0.5545053367020625,0.4674175561170104,0.48258244388298954,0.18032977553195834,0.5,0.5277473316489688,0.24967022446804168,positive
0.6132691395009391,0.5294950668137912,0.5070432121880869,0.19163456975046955,0.5,0.5145913575623826,0.23836543024953047,positive
0.641797068224307,0.6096006515057095,0.5558068408099502,0.15,0.5,0.54,0.22,positive
0.4850738190600713,0.4950738190600713,0.4544832665795009,0.34625492402121216,0.5,0.4458120096607844,0.31566437154064175,positive
0.360549806765499,0.41301261272012557,0.30698738727987446,0.1732875161028751,0.5,0.470549806765499,0.28041235507412426,positive
0.6680040512590035,0.6450101281475089,0.5109979743704982,0.3769858205934876,0.5,0.5436659914568328,0.22,positive
0.5196058247511277,0.45519708762443617,0.4924014561877819,0.18118252574661683,0.5,0.55,0.22,positive
0.4015172665621733,0.35696546687565345,0.3321381324973862,0.16,0.5,0.5130345331243465,0.2662068335945668,positive
0.417422405561787,0.32515518887642597,0.48902158053374545,0.1587112027808935,0.5,0.547422405561787,0.22,positive
0.40256091677915545,0.35487816644168907,0.541036791272956,0.1512804583895777,0.5,0.5325609167791555,0.22,positive
0.5745570808053688,0.45480973064877056,0.48607610774049176,0.16696194612975412,0.5,0.5245570808053689,0.26,positive
0.6388938261880472,0.5647290110085649,0.5230586413675296,0.2044469130940236,0.5,0.5113882717264941,0.22555308690597642,positive
