Height,Lenght,Area,Eccen,P_black,P_and,Mean_tr,Blackpix,Blackand,Wb_trans,Class
83,314,26062,3.783,0.298,0.671,8.75,7772,17482,888,negative
197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227,negative
28,31,868,1.107,0.492,0.745,7.49,427,647,57,positive
28,32,896,1.143,0.481,0.742,7.43,431,665,58,positive
29,31,899,1.069,0.463,0.726,6.93,416,653,60,positive
28,32,896,1.143,0.488,0.743,7.05,437,666,62,positive
28,32,896,1.143,0.462,0.722,7.02,414,647,59,positive
28,31,868,1.107,0.508,0.767,7.47,441,666,59,positive
29,32,928,1.103,0.476,0.72,7.25,442,668,61,positive
29,32,928,1.103,0.432,0.689,6.27,401,639,64,positive
153,158,24174,1.033,0.587,0.641,46.95,14180,15491,302,positive
83,149,12367,1.795,0.388,0.472,28.77,4804,5838,167,positive
95,93,8835,0.979,0.675,0.902,3.63,5966,7968,1644,positive
93,104,9672,1.118,0.451,0.611,4.25,4366,5908,1028,positive
168,145,24360,0.863,0.798,0.963,13.06,19430,23457,1488,positive
187,137,25619,0.733,0.899,0.991,29.29,23025,25400,786,positive
132,547,72204,4.144,0.37,0.483,20.66,26693,34874,1292,positive
128,347,44416,2.711,0.399,0.567,13.07,17721,25163,1356,positive
168,135,22680,0.804,0.82,0.904,62.81,18591,20513,296,positive
174,471,81954,2.707,0.339,0.433,15.84,27820,35499,1756,positive
72,96,6912,1.333,0.488,0.582,15.69,3374,4025,215,positive
163,161,26243,0.988,0.523,0.897,8.4,13725,23547,1634,positive
186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481,positive
64,73,4672,1.141,0.403,0.445,72.38,1882,2077,26,positive
63,66,4158,1.048,0.491,0.591,44.37,2041,2458,46,positive
65,50,3250,0.769,0.454,0.487,245.83,1475,1582,6,positive
63,79,4977,1.254,0.338,0.345,186.78,1681,1718,9,positive
178,140,24920,0.787,0.574,0.649,21.52,14292,16177,664,positive
166,472,78352,2.843,0.359,0.547,17.12,28093,42821,1641,positive
187,141,26367,0.754,0.415,0.884,4.69,10947,23301,2333,positive
162,502,80786,3.21782831240228,0.37456804778099984,0.5092662747407491,21.59073973537872,30304,41302,1399,positive
65,83,5459,1.2736811856444716,0.3753693398312754,0.4040435569334151,144.1565309884473,2102,2292,60,positive
29,31,920,1.0946544577188793,0.43960917090337487,0.6980819136588667,6.43200170310411,404,642,63,positive
63,72,4618,1.1314094801982584,0.41207490045756207,0.4600560848500462,69.49150043390553,1898,2116,28,positive
162,479,77752,2.9697786684098837,0.3600719180265248,0.5407633860274923,17.464962710354335,27956,42046,1606,positive
28,31,897,1.1056113244388586,0.4625052523724479,0.7240210094897914,6.974527286479693,415,650,59,positive
141,533,74812,3.862514010026757,0.37138834027113804,0.4909829565590439,20.942874330244383,27790,36827,1324,positive
63,74,4714,1.188069782187694,0.38696758895768363,0.42373220185353044,141.2017363172306,1796,1954,20,positive
181,179,30486,1.08937026759946,0.8437317878744901,0.9379258000760698,28.38836546192221,23408,26389,838,positive
178,470,84008,2.63499768943418,0.3541788654706324,0.47036336115847965,18.350350827835353,29842,39637,1648,positive
64,50,3265,0.773031606350671,0.4534472797745048,0.48654481863782745,243.95020935074226,1479,1587,6,positive
153,158,24369,1.0287421889388668,0.5809444464908329,0.6652222140366685,43.30247519096262,14136,16253,428,positive
180,457,83325,2.539253181912579,0.3799170202125088,0.5324688937178731,21.448336840031846,31620,44218,1469,positive
168,471,79502,2.7995733452877034,0.3526137272481917,0.5105982453146928,16.71127854388427,28005,40482,1677,positive
73,95,7008,1.315321936335985,0.49733841216149943,0.5979801705437424,15.087747322632705,3503,4221,286,positive
28,31,894,1.1412218572897521,0.46348178559187336,0.7231360356204362,7.043214640939349,414,647,58,positive
180,469,84981,2.600913990697192,0.36136407763680817,0.4880500372598355,19.538674378395196,30800,41596,1598,positive
29,32,928,1.103,0.45980083733547117,0.7085869535772638,6.889200467926403,426,657,62,positive
173,142,24668,0.8210818596703523,0.6744517969231436,0.7898118939011924,17.726150884063415,16596,19441,1033,positive
28,31,896,1.1213024028943432,0.4622932107716981,0.7231728430867922,6.993611030547174,414,648,59,positive
86,101,8764,1.188662877254532,0.4631605881786869,0.6014687281842724,8.009922399031838,4039,5289,760,positive
28,32,896,1.143,0.47477785066546374,0.7354503691215407,7.295732566991585,425,659,58,positive
139,377,53711,2.7100094981177505,0.3841424717662608,0.5338181869446491,13.755922553457626,20221,27722,1455,positive
67,93,6517,1.366755737344316,0.3484210478137076,0.3714694614468172,153.8474046991213,2331,2576,41,positive
70,79,5723,1.1361612172842748,0.4130983291458614,0.47992338829610404,58.04668406859295,2404,2882,236,positive
29,31,901,1.0721010075036554,0.4601726108054906,0.7226253741871984,6.869803971987864,414,651,60,positive
94,98,9248,1.0477244223536588,0.5642498517466218,0.7581236913315488,3.9365405889156007,5174,6949,1339,positive
64,71,4590,1.1195881412738082,0.4059354967608489,0.4474174679206991,82.36356692488695,1858,2048,24,positive
77,82,6547,1.0680236789364452,0.525528144007944,0.6508653007780529,41.41011065975682,3721,4730,754,positive
176,143,25246,0.8148731753503019,0.6288938179739967,0.9281190903915032,9.364389703504834,15684,23388,1861,positive
173,471,81549,2.722272231144871,0.34124591634483403,0.44580172316555383,15.983738646069376,27850,36321,1743,positive
94,96,9128,1.027777186744739,0.5963950371883344,0.7998837313473451,3.8475673077822887,5404,7245,1427,positive
168,432,72178,2.5959885953377517,0.42221618887090717,0.598977755293857,18.544705589923964,27499,40781,1540,positive
28,31,896,1.1324186155280902,0.46214299168205286,0.7225719667282113,7.0071307486152445,414,647,59,positive
173,487,83649,2.90882975535426,0.37609208505373976,0.5180294890590037,21.901262329699478,31508,43447,1435,positive
28,31,878,1.1207441497206145,0.5003643612663252,0.7578372335195903,7.309651586592829,439,666,60,positive
162,479,77730,2.97456060163575,0.36011234943735065,0.5405281487281415,17.47797427347468,27951,42017,1605,positive
170,460,78796,2.70733642722446,0.34404640836689987,0.44427031201940964,15.607024147061457,26970,34629,1722,positive
71,86,6380,1.2133318018784403,0.37179048814511945,0.42454221103187406,132.19789556523318,2483,2970,313,positive
28,31,896,1.0717649942418392,0.46511012718456163,0.7273824971209196,6.970747283563949,416,652,59,positive
28,31,872,1.1134130378655471,0.5031902216008396,0.7625465014822589,7.462874402371614,439,665,58,positive
183,235,42167,1.3128778435930766,0.7344956472076379,0.8270831627533249,25.338957955254873,24433,28366,1070,positive
93,93,8678,1.0077974683472326,0.6597877780199648,0.875968390194592,4.6110662945413114,5755,7647,1527,positive
177,140,24872,0.7934476662704746,0.593003647955083,0.6756390422227503,20.802272938839277,14727,16794,733,positive
163,160,26195,0.9855416824442162,0.5269680451851508,0.8970935229504918,9.12694053375104,13790,23506,1616,positive
68,84,5881,1.2263328232095057,0.48912281238726835,0.5853684371618051,26.42408642228553,2875,3438,151,positive
63,68,4348,1.0824697196772208,0.4583834910581136,0.5368862465282339,54.75168653934361,1982,2316,38,positive
28,32,896,1.143,0.4655568082221075,0.7257440086548499,7.096752177424424,417,650,58,positive
29,32,928,1.103,0.4343210625951102,0.6906352941011004,6.321696394163818,403,640,63,positive
168,144,24336,0.8621740627655494,0.7983079765958969,0.9621740627655494,13.756447074812172,19418,23415,1471,positive
68,91,6569,1.3022906668406522,0.39930067277888415,0.4516587889980086,61.62482265914244,2602,3004,60,positive
164,423,71123,2.593113061665343,0.3859014512961492,0.5432978642501748,18.820886621404956,27261,38242,1433,positive
163,478,77838,2.951634432424968,0.35991850788368535,0.5416559541312852,17.415592537113287,27976,42157,1611,positive
28,31,889,1.1349772889733878,0.4686855925221769,0.727125620933669,7.124740949514105,416,647,58,positive
144,402,59401,2.7692906390348737,0.3813361699894322,0.558168084994716,14.858462788569991,22301,32960,1481,positive
81,81,6850,1.0082713186380414,0.5969431502985564,0.7700669551241903,20.91280465672181,4300,5630,966,positive
63,78,4948,1.2434180455157051,0.34408696496884217,0.35436456149052636,176.0669416548378,1699,1751,10,positive
28,31,871,1.1027744956723662,0.4887752730131216,0.7428872478361831,7.427729409908555,425,647,57,positive
79,79,6530,1.0129911321960694,0.5843569808104819,0.7487935925655428,23.6995467488096,4032,5253,856,positive
153,157,24198,1.02983233310989,0.5850471731000039,0.6437589356784829,46.47019497212887,14143,15579,325,positive
28,31,884,1.0868091043957768,0.4765911586178297,0.7349045521978884,7.19244995951671,421,650,58,positive
71,93,6705,1.3012449525154437,0.4860856886268175,0.5766511888102254,28.647635865418046,3267,3887,203,positive
81,142,11718,1.7401061226841508,0.3998817916268072,0.4850699707894879,27.21586165521362,4634,5622,172,positive
29,31,902,1.0729958923904215,0.4593566863499098,0.7216515288692471,6.85243267712711,414,651,60,positive
28,32,907,1.1289684120846426,0.46835577691849956,0.7240573563142674,6.776384035650529,424,656,62,positive
175,138,24351,0.7913172370524878,0.6364729597007058,0.7137585557873171,32.00580693513067,15383,17278,570,positive
63,70,4457,1.1022532951540358,0.43966354867144997,0.5058281602958147,60.710159110371436,1948,2235,34,positive
72,95,6984,1.3196090821599877,0.4950737334352606,0.5941047844881466,15.233800934602975,3472,4174,269,positive
28,31,885,1.1295046591371467,0.47324611738571115,0.7306220233290451,7.19618917237614,418,647,58,positive
65,83,5529,1.276571254816267,0.38085681294227913,0.412713764448801,137.89751915803646,2164,2377,67,positive
174,142,24821,0.8193246144653927,0.575708211333537,0.6479487930255157,24.861524170142026,14277,16086,616,positive
29,31,905,1.0766022585096613,0.456068529005897,0.7177269539747803,6.782426746577161,412,649,60,positive
167,145,24353,0.869252168295096,0.790239955821969,0.9511576576998768,14.306388138357683,19236,23164,1444,positive
168,144,24366,0.862076259923574,0.7952773976694811,0.9591834949473976,13.162826855875847,19367,23368,1477,positive
129,350,45546,2.7108795153068304,0.3971927296024584,0.5629637627788235,13.15343565001984,18025,25474,1368,positive
133,543,72624,4.081979206527023,0.3686620427295321,0.48084200440247116,20.451969224398223,26741,34900,1312,positive
28,31,871,1.1109188479068695,0.505060864069848,0.7642785778424518,7.465645724547922,439,665,58,positive
180,469,84740,2.6093752948190345,0.3595803432543657,0.4836593064722848,19.243672153606635,30562,41110,1610,positive
186,140,26356,0.7542321617280631,0.4161185974170312,0.8823467270880356,4.808402481312175,10970,23250,2321,positive
185,142,26357,0.7712683961480833,0.42297002899142305,0.8849593553415602,4.963785255168331,11152,23319,2281,positive
165,153,25402,0.9322317855501651,0.6456900717896368,0.9264456172295128,10.479039034689846,16270,23506,1568,positive
154,157,24241,1.0244354074377284,0.5817200361264849,0.648459483844559,45.65272515526313,14080,15730,364,positive
168,140,23558,0.8348627728060388,0.8084918474282567,0.9348627728060388,36.7858822525351,19029,22053,919,positive
171,153,26288,0.9012792813236514,0.48297505291860837,0.8921821822957584,7.025068947481824,12695,23455,1893,positive
29,31,907,1.079344544574523,0.4669552670432,0.7241744921339077,7.027360419524922,423,657,60,positive
63,65,4192,1.03354758358763,0.39072676351306174,0.4095448311970238,213.620649874537,1587,1656,7,positive
28,31,885,1.1295920908830264,0.48948976767966373,0.7437448838398318,7.213874444763012,433,658,60,positive
167,147,24609,0.8892586792669173,0.5794039139449997,0.6456745144953848,32.09088704779556,14245,15891,513,positive
28,31,893,1.1394416883776757,0.4836687337167433,0.7444710497377253,7.43395367958036,431,665,58,positive
166,456,75955,2.7471081374795236,0.3835410453843872,0.5671781928716073,17.673082448755544,27862,42029,1602,positive
141,525,73931,3.7784668903405083,0.3669094049144855,0.5009816441339028,19.665390308843506,27086,37106,1390,positive
28,31,896,1.1393304498216654,0.48010740671337804,0.741206583745225,7.405205742038279,430,664,58,positive
29,31,902,1.0727310313477088,0.4644265708094181,0.7253415827033455,6.965115589154906,418,654,60,positive
77,124,9881,1.5844865802130006,0.4335656752785713,0.5221222428064284,22.810009673562874,4152,5011,188,positive
179,140,25140,0.7823827622858002,0.8606333923779552,0.980363712738443,23.12475206231894,21659,24661,1052,positive
28,32,919,1.1140952473192454,0.440321435489434,0.6981535790383774,6.478035887235849,404,641,62,positive
165,157,25994,0.9501876468955239,0.5325941791459118,0.8503459523885072,10.86814961557575,13831,22160,1451,positive
159,412,67379,2.6096389985336566,0.38773766650373964,0.5466205393877193,18.014700706453365,25924,36409,1423,positive
29,32,928,1.103,0.46045250196685367,0.7090460809311924,6.903714816534468,427,657,62,positive
174,470,82049,2.7093536119041297,0.3669105338748334,0.5395058100133158,19.272497901730993,30143,44199,1574,positive
166,471,78632,2.832428089372762,0.3574453072607003,0.5381382513859918,17.02049966468482,28071,42251,1649,positive
28,31,868,1.107,0.5075903169226587,0.7664366857686556,7.470512103846676,440,665,58,positive
28,31,895,1.1425035868012656,0.4880551570220816,0.7430275785110408,7.056067272428974,436,665,61,positive
148,523,76740,3.6544183001400263,0.372414706287842,0.4968845611550917,21.151996406147816,28601,38272,1349,positive
28,31,883,1.1262994691883883,0.4972780726731176,0.7541336872077411,7.244839526135469,438,666,60,positive
184,140,25919,0.7642144113374488,0.46421489098952606,0.811261010172713,9.899349782098895,11982,21095,1816,positive
29,31,922,1.0966690306700362,0.4377723543890846,0.6958895842708428,6.392895286993413,403,641,63,positive
182,242,43379,1.3553406653786424,0.7224494566301725,0.8150799942850646,25.049634270849676,24536,28583,1091,positive
155,154,23931,0.9957607208900199,0.6248897468673597,0.6837682550477064,49.52910465800998,14897,16307,301,positive
71,94,6739,1.3259632475750136,0.47463907767407637,0.5608897427250407,30.92946800494849,3223,3819,196,positive
163,158,25908,0.9658171553653961,0.5718022581961286,0.9087125419670709,9.226976447978032,14737,23531,1608,positive
185,142,26360,0.7657468202896898,0.4204216093644722,0.884652601127205,4.876242321686963,11086,23313,2297,positive
86,133,11398,1.5711871188449016,0.4667185010925407,0.5899406113930052,21.874588440883368,5122,6422,572,positive
177,148,26319,0.8444608441510252,0.4567511588389347,0.8890256024528348,6.12422962307822,12020,23396,2062,positive
151,503,75780,3.3871341902140952,0.36360067339919677,0.5202324456774005,18.600580348468792,27507,39497,1495,positive
28,31,896,1.0715563176325476,0.46602721824906945,0.7287581321824854,6.966326618988832,417,653,59,positive
29,31,902,1.073553827756986,0.4588479805745127,0.721044363911515,6.84160216707027,413,651,60,positive
28,31,898,1.0723461815878579,0.46413046675265474,0.7267687173918052,6.935426240412743,416,653,60,positive
133,544,72461,4.106110657647449,0.3691826237905852,0.4816816512751374,20.532911182923247,26722,34890,1304,positive
170,471,80597,2.7581990178954148,0.346529267337561,0.47591682382409767,16.321873109603903,27922,38255,1712,positive
28,31,890,1.136179919908146,0.4861150600688905,0.7467361667304542,7.437577866768726,432,665,58,positive
168,144,24376,0.8613458968109428,0.7992851109391906,0.9633562683791815,13.266508421218454,19475,23481,1479,positive
155,156,24201,1.0074291285124002,0.6187379640228444,0.6894342389353361,41.85237156050143,14969,16689,480,positive
179,140,25108,0.7857630070042224,0.8580072022505657,0.9796356600298598,22.702741510165154,21565,24611,1070,positive
151,424,65426,2.792722406924705,0.37423563426524087,0.5546178171326205,15.577392030644363,24142,36095,1532,positive
28,31,895,1.1419169183213258,0.4818123112590057,0.7427521400546349,7.431203424087416,431,665,58,positive
28,31,891,1.1373162812328854,0.4852627890753359,0.7459470269216073,7.436315243074572,432,665,58,positive
64,53,3479,0.8291417218474567,0.44575476394026803,0.4802098055978678,217.78811383214688,1540,1662,9,positive
168,150,25201,0.9022346084172033,0.5063847765152651,0.7548924378301778,27.143027067064555,12664,19151,1253,positive
165,145,24158,0.8803267884301305,0.6967986078057135,0.9010962634836364,40.23967087780764,16572,21771,851,positive
28,31,875,1.1168426545895054,0.4954232746911875,0.7546966817631182,7.3469668176311815,433,660,59,positive
135,523,69577,3.9517031809236878,0.3998226377283404,0.511638752298671,21.1465205360975,26486,34339,1263,positive
165,158,26064,0.9608091976272657,0.5298991588109923,0.8634511493112532,10.174842423533702,13801,22550,1502,positive
64,71,4673,1.101323212397928,0.49043870302739023,0.5893161090821707,39.00400094185063,2290,2751,77,positive
186,140,26366,0.7540093167815577,0.4150448899475052,0.8839336532222407,4.694751558594422,10947,23298,2332,positive
63,73,4673,1.1413800374106486,0.4027813944098039,0.4446636837073905,72.76474583874521,1881,2075,25,positive
28,31,883,1.1269955414016946,0.49689136588794747,0.753669639065537,7.236718683646896,438,666,60,positive
63,74,4742,1.1671044220846023,0.38798418198673323,0.42189874151805107,98.8078397033496,1835,1994,22,positive
63,65,4107,1.0325896386371975,0.4889563320056498,0.5852556359077725,55.49749605788605,2009,2409,43,positive
28,31,891,1.1375873060643868,0.48265387870254844,0.7424510578279677,7.439021156559355,430,662,57,positive
172,488,83516,2.9231986210274665,0.3760212151860544,0.5176219873198129,21.886822594158588,31452,43348,1434,positive
182,140,25715,0.7688679564652331,0.4866365175143048,0.778122128202128,12.272657797268874,12454,20091,1581,positive
170,143,24522,0.8462092760303056,0.811045100930301,0.9666164636242418,15.156257307908763,19894,23707,1397,positive
93,103,9633,1.1116130927889625,0.4612925698940462,0.6243711510677118,4.2215116369004075,4439,6002,1056,positive
75,85,6641,1.1319420165923704,0.4219036175463578,0.5103750106811539,45.54867784513846,2860,3585,420,positive
64,56,3644,0.8798917606691794,0.42747743456159837,0.4545327216185083,232.32864233502053,1522,1613,6,positive
179,147,26326,0.8308220398490296,0.45045632608416747,0.8882678911027239,5.907990460854272,11859,23381,2103,positive
64,56,3596,0.8755422209122471,0.46812925510305786,0.5267146629923788,168.8981153226477,1691,1916,21,positive
174,142,24810,0.8164388466557307,0.8341744345213169,0.9730285561049196,18.872980913673,20717,24152,1236,positive
93,99,9236,1.0716629952348973,0.6424089710387065,0.8531702353541596,6.484837867898674,5834,7726,1476,positive
28,31,896,1.118696416473867,0.4750883175206704,0.7367451711294848,7.265786597796399,426,661,58,positive
28,32,911,1.1238123080361517,0.45749507734428585,0.716576308147901,6.8735569330484,416,652,60,positive
170,143,24487,0.8456961977719086,0.7469993197487832,0.8915079750049908,14.986186405916492,18260,21799,1300,positive
170,471,80225,2.772257763848769,0.34859672997776014,0.4877013608732328,16.454190718576648,27950,39012,1700,positive
64,52,3384,0.8102413614111273,0.459469284488214,0.5023731239668718,216.0504850541731,1558,1711,11,positive
174,470,82331,2.6991620952466095,0.3675137700632848,0.5389343230979408,19.43664164353591,30299,44305,1569,positive
64,57,3648,0.8914983059416273,0.47024529505319074,0.5326624509603198,157.37656374551892,1723,1966,23,positive
168,143,24152,0.8557225625568423,0.8007136207415164,0.9557225625568423,19.19648326774734,19326,23093,1340,positive
63,59,3791,0.9354282803267413,0.47607113395014133,0.5490377819139107,125.6556582271495,1812,2104,29,positive
28,31,871,1.111824548224223,0.4879795431464808,0.7419176497456352,7.427012842628199,425,647,57,positive
177,140,24903,0.7891874833998138,0.5804473194941879,0.6580377603623885,21.27649855838915,14439,16386,687,positive
70,72,5303,1.0311044706414798,0.5360547449560541,0.6671523134855044,34.394291796143236,3002,3807,437,positive
147,518,75905,3.5983848252949286,0.3582295960919574,0.46401547756767325,18.8298920375237,27120,35111,1468,positive
184,140,25938,0.7637653676527256,0.46205131687222345,0.8144587455033175,9.670337502890067,11936,21192,1839,positive
172,143,24761,0.8393891837311921,0.5767685340996158,0.6472962867079287,26.9356786271716,14268,16030,586,positive
176,140,24843,0.7973642321445945,0.6045472105314363,0.6918206433342458,20.366297316535928,14992,17169,776,positive
94,93,8807,0.9841488116464302,0.6722801475201061,0.8973457069862778,3.805408667954656,5928,7910,1623,positive
178,145,25837,0.8223998274956822,0.7671790778887195,0.9580447694721799,21.96622589653019,19764,24750,1083,positive
64,61,3958,0.967889921875503,0.40643045167513747,0.42876831153335787,221.6146394087661,1559,1637,7,positive
29,32,928,1.103,0.4492587379843882,0.7011595653980917,6.654399164197738,417,650,62,positive
28,31,883,1.1272509028071458,0.4751242476607119,0.7320619232065457,7.225613213351153,419,647,58,positive
187,140,26295,0.7519873325843687,0.46138719186502575,0.894255019689169,7.047696115453789,12104,23502,2184,positive
64,55,3566,0.8661632752995008,0.4668854522798621,0.5232185685704233,175.6704536134859,1672,1887,19,positive
165,147,24411,0.8934259339945948,0.6756548782804638,0.9005979264241187,36.36616810518531,16226,21987,946,positive
160,154,24648,0.9726391905547789,0.5497883181914766,0.6935723179039023,37.80717631844071,13480,17180,741,positive
164,154,25496,0.9384321522098412,0.6320492651383494,0.9231718236332038,10.24788936561712,15987,23511,1576,positive
68,89,6180,1.303144849318002,0.431313005034181,0.492434547954006,80.34718645801313,2734,3153,137,positive
179,139,25016,0.7795676402723243,0.6187317946573078,0.6960716116086132,22.58943398303779,15493,17446,680,positive
63,79,5074,1.2579878707310463,0.3455719064513537,0.35696361219313877,178.143483501586,1766,1834,19,positive
28,31,872,1.1122946453134455,0.4903821917097806,0.7445587795572128,7.4811755911442575,427,649,57,positive
186,161,29754,0.8779160279312102,0.8578890700904369,0.950035894840114,28.3026035584221,23377,26141,857,positive
174,151,26304,0.8728447874193881,0.4698514403474099,0.890602488189966,6.574248552674914,12357,23425,1977,positive
91,107,9747,1.18972742085195,0.600883860558199,0.7909549130314479,10.122263921835813,5665,7417,1262,positive
171,149,25527,0.8792862870038906,0.5505840764318487,0.7628656675470888,15.496138878154012,14031,19560,1109,positive
28,32,896,1.142201303011419,0.4800215961889884,0.7409417264901302,7.406837787331153,430,664,58,positive
172,137,23783,0.7956254924021212,0.698815948877754,0.7783823860318183,42.469798899034416,16473,18377,477,positive
166,428,73157,2.584134054344339,0.3849037838160377,0.5414925611909253,19.258910153149174,27988,39239,1439,positive
183,140,25836,0.766097771807548,0.4732892641636406,0.7978492007644306,10.859863621849506,12173,20689,1721,positive
28,31,898,1.0867707757895864,0.4627598543812218,0.7250394175248872,6.951613105690037,415,651,59,positive
154,156,24060,1.0156272978631158,0.6046761554493186,0.6609520552925786,48.153192383803415,14514,15871,301,positive
164,158,26072,0.9620951758959595,0.5295728658174431,0.865037828966159,10.090901951467718,13798,22597,1508,positive
28,31,896,1.1335246079171248,0.47869517489876007,0.7399512665766756,7.365977080521113,429,663,58,positive
175,420,73396,2.407144083006731,0.42406550836688484,0.5177617029798602,17.88309122774036,27091,33964,1608,positive
63,67,4271,1.0765983975657785,0.46975944258464025,0.5568485155282451,64.14037765700249,1991,2355,40,positive
73,87,6663,1.2051589652932373,0.3785811538372368,0.4405273178823449,121.22886716893076,2645,3222,374,positive
63,63,3992,0.9972554564526386,0.48427043687723165,0.572084471222489,81.0115618030517,1938,2298,38,positive
28,31,877,1.119444022199659,0.48162998150028413,0.7370496524835511,7.327536376837784,422,647,57,positive
186,140,26217,0.7574059824731016,0.4314106428249441,0.8597452763279128,6.427051061281823,11292,22565,2160,positive
77,123,9781,1.5760297221985529,0.4353961640262872,0.524135780428916,22.57058174536163,4126,4978,189,positive
174,136,23905,0.7873778869260514,0.6853608841010159,0.8973511547704206,43.4884557628421,16049,21439,973,positive
28,32,922,1.1098927948480652,0.4371695961360489,0.6946865557496538,6.399239903401222,403,640,63,positive
28,31,890,1.1360775953228879,0.4861918035078341,0.7468072254702167,7.437691560752347,432,665,58,positive
163,160,26188,0.9797854081304377,0.5250842994295905,0.8868645831659132,8.936196245416204,13748,23245,1594,positive
81,140,11445,1.71695200086066,0.4048935063072165,0.49058285693793807,26.56032937501609,4562,5531,175,positive
168,471,79355,2.8051117138916535,0.3534281932193608,0.5152407013503567,16.763404366039094,28016,40781,1673,positive
89,88,8007,0.9912137234150955,0.6424300708930786,0.8469497393899318,10.841407129434664,5271,6992,1361,positive
61,48,3044,0.7986266462748566,0.4520485442573448,0.5049179118189252,224.58042101315976,1379,1498,11,positive
64,51,3359,0.8026574080370676,0.45846352723072226,0.49954613059446246,221.52669740807298,1543,1687,10,positive
157,358,50738,2.5722836222403727,0.613751968289312,0.7170756141606247,24.636520768122423,25002,30508,1058,positive
63,62,3970,0.990432892564784,0.48336565241898566,0.5695412932857975,85.93799091003095,1924,2277,37,positive
164,424,71636,2.590847003738086,0.3856496670820096,0.5428422547198268,18.931431881136746,27445,38494,1435,positive
165,148,24473,0.8966287778372937,0.6704850705561075,0.9004760791040161,35.419066292787235,16141,22040,969,positive
63,74,4723,1.1902213346976493,0.38536959121970715,0.42116287215717607,142.6891275451079,1792,1947,20,positive
163,160,26190,0.9800982598919391,0.5250049191318961,0.8872505893194075,8.915775274715218,13747,23257,1595,positive
64,82,5365,1.2698465784861857,0.3680884401636436,0.39253973545855686,152.4611251493481,2020,2180,50,positive
168,153,25750,0.9132079782876725,0.5419770801359637,0.8047192965937451,13.28194688987929,13935,20804,1273,positive
61,69,4365,1.137893156785943,0.4089684093322677,0.46748373378593977,67.05503424916996,1764,1961,28,positive
176,139,24636,0.7891491633901848,0.6050996584697328,0.6812374508527719,26.739938610631164,14835,16725,617,positive
65,68,4528,1.042540195636695,0.5055594783021464,0.6156086834346061,41.146341597666066,2351,2893,172,positive
185,138,25657,0.7485748797629902,0.8760346870945712,0.9852586717736428,28.014081418631896,22456,25286,837,positive
29,31,919,1.093586159962995,0.47240059057408634,0.7216612658888832,7.161399152592895,434,663,60,positive
28,31,898,1.0833411052953135,0.4628062012797931,0.7252248051191722,6.947441884818624,415,651,59,positive
74,109,8285,1.4493040230427499,0.4628259690383658,0.5543085659422023,18.982763249781748,3733,4481,202,positive
175,143,25164,0.8240887248906319,0.5645894280128247,0.6947612128003816,19.09908422604433,14187,17536,842,positive
181,145,26341,0.8029877416607902,0.4376097269203647,0.8867215412033772,5.4666859895791955,11528,23352,2186,positive
173,347,58815,2.061303863110184,0.5590549355073463,0.7114896136393736,21.62864549097112,26215,36367,1324,positive
170,150,25561,0.8843891200233953,0.5492893277552579,0.7691617003273733,15.1630584342938,14017,19747,1133,positive
29,31,910,1.0819793377679698,0.46796268797010615,0.7237095286291817,7.052158473110305,425,658,60,positive
50,53,2966,1.0682902501763376,0.4854662954064534,0.6385898595045006,30.675925699170044,1451,1797,51,positive
48,41,2175,0.9234865951884714,0.46417576375492925,0.5947705888590235,135.47846742495358,997,1159,31,positive
28,32,896,1.143,0.4762019478245414,0.7369494187626752,7.32646308463484,426,660,58,positive
29,32,928,1.103,0.4336140609271863,0.6901371792896085,6.3059495388327855,402,640,63,positive
66,78,5237,1.189467893314052,0.42445714026924175,0.4795838613751308,58.06934962513746,2258,2568,73,positive
93,100,9432,1.078155592437953,0.5152096927618602,0.6944152705075952,4.072276743248422,4824,6498,1204,positive
28,32,896,1.143,0.46399107008394325,0.724095863246256,7.062965196548248,415,648,58,positive
28,31,882,1.125420387916164,0.4977664511576867,0.754719741389224,7.25509547431142,438,666,60,positive
28,31,882,1.1261560854695514,0.49735773029469366,0.7542292763536325,7.246512336188567,438,666,60,positive
28,31,896,1.1350692711608565,0.4621071720113398,0.7224286880453591,7.01035451897942,414,647,59,positive
28,31,880,1.1231068452056443,0.4874190311261211,0.7468664434929445,7.268664434929445,428,657,59,positive
165,152,25240,0.921422841693122,0.6694697482751314,0.9321527395860315,10.881996461680409,16763,23499,1556,positive
28,31,874,1.1157289381308502,0.5014532964018623,0.7609382374091318,7.460301179854611,438,665,58,positive
63,67,4296,1.0730396204782924,0.4673065956764545,0.5516904882813903,51.91150289889216,1998,2355,40,positive
168,141,23726,0.8407402343768273,0.8063002515883017,0.9407402343768273,31.829887114454976,19113,22346,1038,positive
82,147,12257,1.7857271066266904,0.39000711977777264,0.47420783175554987,28.507468733067338,4775,5801,167,positive
28,31,877,1.0947609917078391,0.48265970419808785,0.7388804958539196,7.309635667273421,423,648,57,positive
29,32,928,1.103,0.466696287692152,0.7134451117831071,7.042780953143386,433,661,61,positive
76,126,9946,1.617823932471748,0.3716251323911043,0.43040783627340484,80.51785661763229,3781,4488,115,positive
28,31,896,1.1341376022453755,0.4850059467045187,0.7409640437590728,7.03562854418169,434,664,61,positive
